Sentence,1 Keyword,2 Keywords,3 Keywords,Emotion
"Why am I feeling so tired today?",Tired,Feeling Tired,So Tired Today,Frustration
"Is there any improvement in my blood work?",Improvement,Blood Work,Improvement Blood Work,Anxiety
"Can someone help me sit up, please?",Help,Sit Up,Help Me Sit,Neutral
"I'm having trouble breathing, nurse!",Breathing,Trouble Breathing,Having Trouble Breathing,Anxiety
"Will my grandchildren be able to visit?",Grandchildren,Grandchildren Visit,Will Grandchildren Visit,Anxiety
"I miss tasting my spouse's cooking.",Tasting,Spouse Cooking,Miss Spouse Cooking,Frustration
"Can you please speak louder, I can't hear well.",Louder,Speak Louder,Please Speak Louder,Frustration
"Please turn on the television for me.",Television,Turn Television,Turn On Television,Neutral
"I don't want to be a burden to my family.",Burden,Be Burden,Don't Be Burden,Frustration
"Are the results from my latest scan available?",Results,Latest Scan,Results Latest Scan,Anxiety
"May I have some pain relief if possible?",Pain,Pain Relief,Some Pain Relief,Anxiety
"Can I get assistance to the restroom?",Assistance,Get Assistance,Assistance Restroom,Neutral
"I'm worried about the surgery tomorrow.",Surgery,Worried Surgery,Worried About Surgery,Anxiety
"It's hard to sleep with all this noise.",Sleep,Hard Sleep,Hard To Sleep,Frustration
"How often will my vitals be checked?",Vitals,Vitals Checked,Often Vitals Checked,Anxiety
"I would appreciate more frequent updates.",Updates,More Updates,Appreciate More Updates,Frustration
"When can I expect to walk again?",Walk,Expect Walk,When Expect Walk,Anxiety
"Please make sure my family is informed.",Informed,Family Informed,Make Sure Informed,Neutral
"I need to know what my options are.",Options,Know Options,Need Know Options,Anxiety
"Can you bring me my reading glasses?",Glasses,Reading Glasses,Bring Reading Glasses,Neutral
"I hope I can go home soon.",Home,Go Home,Hope Go Home,Relief
"Tell me, will there be more tests?",Tests,More Tests,There Be Tests,Anxiety
"Please be gentle with the needle.",Gentle,Be Gentle,Gentle With Needle,Frustration
"I'm not comfortable; can I have another pillow?",Comfortable,Not Comfortable,Not Comfortable Pillow,Frustration
"Why do I have to fast tonight?",Fast,Have Fast,Have To Fast,Frustration
"I'm feeling a bit cold, could I have an extra blanket?",Cold,Bit Cold,Feeling Bit Cold,Frustration
"Could you explain the side effects of this medication?",Effects,Side Effects,Explain Side Effects,Anxiety
"Are there any risks with this procedure?",Risks,Any Risks,Risks Procedure,Anxiety
"I'd like to hear some good news.",Good,Good News,Hear Good News,Relief
"Is my heart condition stable today?",Heart,Heart Condition,Condition Stable Today,Anxiety
"Please make my bed; it's quite uncomfortable.",Bed,Make Bed,Bed Uncomfortable,Frustration
"How will this treatment affect my daily life?",Treatment,Affect Daily,Daily Life,Anxiety
"May I have a word with my doctor?",Word,Word Doctor,Have Word Doctor,Neutral
"I'm struggling with the food here, is there something else?",Food,Struggling Food,Struggling With Food,Frustration
"Can we manage my pain without so many drugs?",Pain,Manage Pain,Manage Pain Drugs,Frustration
"Please check if my insurance covers this.",Insurance,Check Insurance,Insurance Covers This,Anxiety
"Why do I keep getting these headaches?",Headaches,Getting Headaches,Keep Getting Headaches,Anxiety
"I need more information about my condition.",Information,More Information,Need More Information,Anxiety
"Can someone update me on what happened during the night?",Update,Someone Update,Update What Happened,Anxiety
"I'm concerned about my discharge plan.",Discharge,Concerned Discharge,Concerned Discharge Plan,Anxiety
"Will I need help when I leave the hospital?",Help,Need Help,Need Help Hospital,Anxiety
"Please remind me when to take my pills.",Remind,Remind Take,Remind Take Pills,Neutral
"I'm not feeling heard; can you listen to me?",Heard,Feeling Heard,Not Feeling Heard,Frustration
"Can you check my IV? It feels strange.",IV,Check IV,Check My IV,Frustration
"Tell me honestly, am I getting better?",Honestly,Am Better,Tell Am Better,Anxiety
"I'm grateful for the care I'm receiving.",Grateful,Grateful Care,Grateful For Care,Gratitude
"I'd like some privacy when my family visits.",Privacy,Some Privacy,Like Some Privacy,Relief
"Has there been any change in my medication?",Change,Change Medication,Any Change Medication,Anxiety
"I wish I could see my dog.",Wish,Wish See,Wish See Dog,Frustration
"Is it normal to feel this weak?",Weak,Feel Weak,Normal Feel Weak,Frustration
"Is it time for my medication or did I miss it?",Medication,Time Medication,Time For Medication,Anxiety
"I would love some fresh air, is that possible?",Air,Fresh Air,Love Some Fresh,Relief
"Could we adjust the room temperature a bit?",Temperature,Room Temperature,Adjust Room Temperature,Neutral
"Are my test results confidential here?",Confidential,Test Results,Results Confidential Here,Anxiety
"I'm curious about the nutrition in my meals.",Nutrition,Curious Nutrition,Nutrition In Meals,Neutral
"When will the occupational therapist visit?",Therapist,Occupational Therapist,When Therapist Visit,Anxiety
"Can I request a different flavor of medication?",Flavor,Different Flavor,Flavor Medication Neutral,Neutral
"Is the Wi-Fi free for patients to use?",Wi-Fi,Free Wi-Fi,Wi-Fi For Patients,Neutral
"The room next door is quite loud, can anything be done?",Loud,Room Loud,Loud Next Door,Frustration
"I forgot my book, can I borrow one from the library?",Book,Borrow Book,Forgot My Book,Neutral
"Can you explain what this consent form is for?",Consent,Consent Form,Explain Consent Form,Anxiety
"I need to schedule a follow-up appointment.",Schedule,Schedule Follow-up,Need Schedule Appointment,Neutral
"Could you help me reach my family on the phone?",Help,Reach Family,Help Reach Family,Neutral
"I heard about a support group, can I join?",Group,Support Group,Join Support Group,Relief
"When can I start eating foods with fiber?",Fiber,Foods Fiber,Eating Foods Fiber,Neutral
"Can we dim the lights? They're quite bright for me.",Lights,Dim Lights,Lights Quite Bright,Relief
"Who can I talk to about my medical bills?",Bills,Medical Bills,Talk Medical Bills,Anxiety
"Can you show me how to adjust this bed?",Adjust,Adjust Bed,Show Adjust Bed,Neutral
"Will I have to take this medication indefinitely?",Medication,Take Medication,Medication Indefinitely,Anxiety
"I'm allergic to latex, is this room latex-free?",Latex,Allergic Latex,Room Latex-Free,Anxiety
"Could I have some more pillows for my back?",Pillows,More Pillows,Some More Pillows,Neutral
"Is there a quiet room where I can meditate?",Quiet,Quiet Room,Room Meditate,Relief
"How often will I need these injections?",Injections,Need Injections,How Often Injections,Anxiety
"Are there vegetarian options for meals?",Vegetarian,Vegetarian Options,Options For Meals,Neutral
"The flowers you brought really brightened my day!",Flowers,Brought Flowers,Flowers Brightened Day,Gratitude
"Can I wear my own pajamas here?",Pajamas,Wear Pajamas,Own Pajamas Here,Neutral
"When is the next health workshop happening?",Workshop,Health Workshop,Next Health Workshop,Neutral
"Can you check why I'm feeling this numbness?",Numbness,Feeling Numbness,Check Feeling Numbness,Anxiety
"I'm ready for the challenge of physical rehab.",Rehab,Physical Rehab,Challenge Physical Rehab,Relief
"May I have a schedule of the daily activities?",Schedule,Daily Activities,Schedule Daily Activities,Neutral
"Who do I give feedback to about the nursing staff?",Feedback,Give Feedback,Feedback Nursing Staff,Neutral
"Is it possible to get a room with a view?",View,Room View,Get Room View,Neutral
"Can you please lower the bedrails?",Bedrails,Lower Bedrails,Please Lower Bedrails,Neutral
"I'd like to compliment the chef, dinner was delightful.",Compliment,Compliment Chef,Dinner Delightful,Gratitude
"Could you update me on the local COVID-19 precautions?",COVID-19,Local COVID-19,Update COVID-19 Precautions,Anxiety
"Are therapy dogs allowed in this hospital?",Dogs,Therapy Dogs,Dogs Allowed Hospital,Relief
"I'm feeling a bit claustrophobic, can we open a window?",Claustrophobic,Bit Claustrophobic,Feeling Bit Claustrophobic,Frustration
"How do I access the hospital's patient portal?",Portal,Patient Portal,Access Patient Portal,Neutral
"Can you tell me where the chapel is?",Chapel,Where Chapel,Tell Me Chapel,Neutral
"I'd like to request a prayer from the chaplain.",Prayer,Request Prayer,Like Request Prayer,Relief
"When will my stitches be removed?",Stitches,Stitches Removed,When Stitches Removed,Anxiety
"Can my diet include more fruits?",Diet,Include Fruits,Diet Include Fruits,Neutral
"I'm experiencing some side effects; who should I inform?",Effects,Side Effects,Experiencing Side Effects,Anxiety
"Can I have the lights turned off at night?",Lights,Lights Off,Lights Turned Off,Relief
"Where can I find the schedule for visiting hours?",Schedule,Visiting Hours,Find Visiting Hours,Neutral
"Can I have a notepad to write down my questions?",Notepad,Have Notepad,Notepad Write Questions,Neutral
"Is there a way to personalize my meal plan?",Meal,Personalize Meal,Personalize Meal Plan,Neutral
"Can you help me understand my care plan better?",Understand,Care Plan,Understand Care Plan,Anxiety
"Will there be any music therapy sessions available?",Music,Music Therapy,Music Therapy Sessions,Relief
"When will the doctor come by to discuss my test results?",Doctor,Test Results,Discuss Test Results,Anxiety
"I'm not feeling any better, despite the medication.",Better,Feeling Better,Not Feeling Better,Frustration
"My chest feels a bit tight, should I be worried?",Chest,Chest Tight,Chest Feels Tight,Anxiety
"The pain is less today, thanks for asking.",Pain,Less Pain,Pain Less Today,Relief
"I'm feeling pretty hungry, what's for lunch?",Hungry,Feeling Hungry,Pretty Hungry Lunch,Neutral
"Can we go for a walk outside today?",Walk,Go Walk,Walk Outside Today,Relief
"The new medication seems to be working.",Medication,New Medication,Medication Working,Relief
"Why am I still on a liquid diet?",Diet,Liquid Diet,Still Liquid Diet,Frustration
"Can someone update me on my discharge plan?",Discharge,Discharge Plan,Update Discharge Plan,Anxiety
"I'm grateful for the care I've received here.",Grateful,Grateful Care,Care Received Grateful,Gratitude
"Can my family stay longer during visiting hours?",Family,Visiting Hours,Family Stay Longer,Neutral
"How soon can I start physical therapy?",Therapy,Physical Therapy,Start Physical Therapy,Anxiety
"Are there any side effects to this new pill?",Effects,Side Effects,New Pill Effects,Anxiety
"I haven't slept well, can we try a different approach?",Slept,Slept Well,Not Slept Well,Frustration
"The nurses have been fantastic, thank you.",Nurses,Fantastic Nurses,Nurses Been Fantastic,Gratitude
"Will I need help at home after I leave?",Help,Need Help,Help At Home,Anxiety
"I don't understand why I need this test.",Test,Need Test,Don't Understand Test,Frustration
"Has the doctor called with my biopsy results?",Biopsy,Doctor Called,Called Biopsy Results,Anxiety
"I'm feeling a bit cold, can I have an extra blanket?",Cold,Bit Cold,Feeling Bit Cold,Neutral
"Has anyone seen my glasses?",Glasses,Seen Glasses,Anyone Seen Glasses,Frustration
"Can I have more water, please?",Water,More Water,Have More Water,Neutral
"Is there a chance I'll go home this week?",Home,Go Home,Chance Go Home,Anxiety
"Thank you for fixing the TV; it helps pass the time.",TV,Fixing TV,Thank Fixing TV,Gratitude
"When's the next round of pain medication due?",Pain,Pain Medication,Next Pain Medication,Anxiety
"Are the test results something to worry about?",Results,Test Results,Worry Test Results,Anxiety
"I'm itching where the cast is, can you check it?",Itching,Itching Cast,Itching Where Cast,Neutral
"How long will the surgery take?",Surgery,Surgery Take,Long Surgery Take,Anxiety
"Can you tell me more about my diet restrictions?",Diet,Diet Restrictions,More Diet Restrictions,Neutral
"I'm ready to get out of bed now.",Ready,Get Out,Bed Now Relief,Relief
"When will I be able to eat solid food again?",Solid,Food Again,Eat Solid Food,Anxiety
"Thanks for bringing my books, I appreciate it.",Books,Bringing Books,Thanks Bringing Books,Gratitude
"Can I shower by myself or do I need assistance?",Shower,Shower Myself,Shower By Myself,Neutral
"Is the specialist going to see me today?",Specialist,See Specialist,Specialist See Today,Anxiety
"Why do I need to take these tests again?",Tests,Take Tests,Need Take Tests,Frustration
"Can I discuss my concerns with the doctor?",Concerns,Discuss Concerns,Discuss Concerns Doctor,Anxiety
"I'm feeling dizzy, is that normal after the medication?",Dizzy,Feeling Dizzy,Dizzy After Medication,Anxiety
"My room is too noisy, can I move to another one?",Noisy,Room Noisy,Noisy Can Move,Frustration
"Please tell the chef the soup was excellent.",Chef,Soup Excellent,Tell Chef Soup,Gratitude
"What exercises can I do to get stronger?",Exercises,Do Exercises,Exercises Get Stronger,Neutral
"Is it okay if my friend visits after hours?",Friend,Visits After,Friend Visits After,Neutral
"I don't like how this medication makes me feel.",Medication,Don't Like,Medication Feel Frustration,Frustration
"Can we talk about alternative treatments?",Treatments,Alternative Treatments,Talk Alternative Treatments,Neutral
"The physical therapist was very encouraging today.",Therapist,Physical Therapist,Therapist Encouraging,Gratitude
"I'm not sure how to use this inhaler properly.",Inhaler,Use Inhaler,How Use Inhaler,Frustration
"Can my family get an update on my condition?",Family,Family Update,Family Get Update,Neutral
"When can we start discussing my rehabilitation plan?",Rehabilitation,Discussing Rehabilitation,Start Discussing Rehabilitation,Anxiety
"I'd like a second opinion on this diagnosis.",Opinion,Second Opinion,Opinion On Diagnosis,Anxiety
"The pain has decreased, should I still take the meds?",Pain,Decreased Pain,Pain Has Decreased,Relief
"Could we lower the volume on the monitor, it's too loud?",Volume,Lower Volume,Volume Monitor Loud,Frustration
"Let's plan for my recovery at home.",Plan,Plan Recovery,Plan Recovery Home,Neutral
"Could you please update me on the progression of my treatment for arthritis?",Progression,Arthritis Progression,Treatment Arthritis Progression,Neutral
"May I know how my diabetes management is going?",Diabetes,Diabetes Management,My Diabetes Management,Neutral
"Would you be able to tell me more about my recovery status from pneumonia?",Recovery,Pneumonia Recovery,Recovery Status Pneumonia,Neutral
"I was wondering if there have been any changes in my hypertension readings?",Hypertension,Hypertension Readings,Changes Hypertension Readings,Neutral
"Can you explain the current state of my thyroid levels?",Thyroid,Thyroid Levels,State Thyroid Levels,Neutral
"Is there any new information regarding my cholesterol management?",Cholesterol,Cholesterol Management,Information Cholesterol Management,Neutral
"Could we discuss any recent developments in my treatment for asthma?",Developments,Asthma Developments,Treatment Asthma Developments,Neutral
"May I ask for an update on my osteoporosis condition?",Osteoporosis,Osteoporosis Condition,Update Osteoporosis Condition,Neutral
"Has there been any improvement in my acid reflux symptoms?",Improvement,Acid Reflux,Improvement Acid Reflux,Relief
"What's the latest on my management plan for anemia?",Anemia,Management Anemia,Latest Management Anemia,Neutral
"Could you provide me with the current status of my migraine treatment?",Status,Migraine Status,Current Migraine Status,Neutral
