timestamp,TP9,AF7,AF8,TP10,Right AUX
1673144647.499,-110.352,-598.633,-46.875,-96.680,0.000
1673144647.503,36.133,123.535,-41.504,38.574,0.000
1673144647.507,76.172,415.039,-41.016,82.031,0.000
1673144647.511,-63.965,-177.246,-39.062,-48.828,0.000
1673144647.515,-135.742,-523.926,-36.621,-128.906,0.000
1673144647.519,-4.883,-333.008,-37.598,-2.441,0.000
1673144647.522,91.797,98.633,-36.621,99.121,0.000
1673144647.526,-22.461,-318.848,-37.598,0.977,0.000
1673144647.530,-186.523,-1000.000,-40.527,-138.672,0.000
1673144647.534,-18.555,-230.957,-36.133,-17.090,0.000
1673144647.538,189.941,765.137,-33.691,165.527,0.000
1673144647.542,-36.621,270.996,-41.504,7.812,0.000
1673144647.546,-297.363,-927.246,-43.457,-208.984,0.000
1673144647.550,-52.734,-580.566,-40.527,-41.016,0.000
1673144647.554,345.703,876.465,-32.227,263.184,0.000
1673144647.558,61.523,591.797,-37.598,75.684,0.000
1673144647.562,-399.414,-780.762,-44.434,-282.715,0.000
1673144647.565,-157.227,-931.152,-38.574,-149.902,0.000
1673144647.569,334.961,228.027,-35.156,228.516,0.000
1673144647.573,189.941,452.148,-42.480,168.457,0.000
1673144647.577,-324.707,-587.402,-47.852,-217.773,0.000
1673144647.581,-269.043,-942.383,-41.016,-209.961,0.000
1673144647.585,169.922,-110.352,-36.133,119.141,0.000
1673144647.589,208.008,810.547,-37.598,187.500,0.000
1673144647.593,-104.004,437.012,-38.086,-43.945,0.000
1673144647.597,-243.652,-652.832,-40.039,-185.547,0.000
1673144647.601,36.133,-497.559,-41.504,3.906,0.000
1673144647.604,233.887,731.445,-41.504,171.875,0.000
1673144647.608,-4.883,594.238,-42.480,11.719,0.000
1673144647.612,-241.211,-708.984,-38.574,-187.500,0.000
1673144647.616,-51.270,-1000.000,-32.227,-57.617,0.000
1673144647.620,215.820,-210.938,-29.785,170.898,0.000
1673144647.624,68.359,780.762,-32.227,88.379,0.000
