timestamp,TP9,AF7,AF8,TP10,Right AUX
1673144927.052,-300.781,-1000.000,-41.016,-234.375,0.000
1673144927.056,132.812,-113.281,-10.254,81.055,0.000
1673144927.060,279.297,899.902,-20.508,240.234,0.000
1673144927.064,-119.629,-155.762,-41.504,-36.621,0.000
1673144927.068,-343.750,-1000.000,-41.992,-260.742,0.000
1673144927.071,-3.418,-798.340,-17.090,-9.766,0.000
1673144927.075,275.879,414.551,-7.812,252.930,0.000
1673144927.079,-5.371,114.746,-38.574,43.457,0.000
1673144927.083,-342.285,-1000.000,-50.781,-246.094,0.000
1673144927.087,-129.395,-878.418,-26.855,-100.586,0.000
1673144927.091,264.648,484.863,-9.766,213.867,0.000
1673144927.095,137.695,225.586,-29.785,136.719,0.000
1673144927.099,-288.574,-971.191,-42.969,-186.035,0.000
1673144927.103,-234.375,-1000.000,-24.414,-158.691,0.000
1673144927.107,200.684,-229.492,-4.883,156.250,0.000
1673144927.111,223.633,768.066,-18.555,206.055,0.000
1673144927.114,-200.684,-148.926,-47.363,-101.562,0.000
1673144927.118,-306.152,-1000.000,-41.016,-202.637,0.000
1673144927.122,111.328,-674.316,-9.277,105.469,0.000
1673144927.126,300.293,369.629,-8.789,232.910,0.000
1673144927.130,-75.195,156.738,-39.551,-40.039,0.000
1673144927.134,-338.379,-921.875,-49.316,-246.094,0.000
1673144927.138,-20.508,-1000.000,-24.902,-15.625,0.000
1673144927.142,288.574,124.512,-6.348,245.605,0.000
1673144927.146,41.504,674.805,-24.414,90.332,0.000
1673144927.150,-324.707,-749.023,-49.805,-194.336,0.000
1673144927.154,-148.438,-1000.000,-33.203,-81.543,0.000
1673144927.157,270.508,319.824,-9.766,238.281,0.000
1673144927.161,176.270,700.195,-24.902,176.758,0.000
1673144927.165,-255.859,-738.770,-52.246,-162.109,0.000
1673144927.169,-246.582,-1000.000,-41.016,-191.406,0.000
1673144927.173,187.988,42.969,-4.395,150.391,0.000
1673144927.177,253.418,960.938,-6.836,243.652,0.000
1673144927.181,-183.594,-69.824,-42.480,-74.707,0.000
1673144927.185,-334.473,-1000.000,-52.246,-211.914,0.000
1673144927.189,75.684,-392.090,-20.996,60.547,0.000
1673144927.193,292.969,888.184,-18.066,239.258,0.000
1673144927.196,-63.965,314.453,-45.898,-0.977,0.000
1673144927.200,-355.469,-1000.000,-52.734,-249.023,0.000
1673144927.204,-61.523,-789.551,-26.367,-56.152,0.000
1673144927.208,290.527,696.289,-9.277,234.375,0.000
1673144927.212,72.266,526.855,-34.668,110.840,0.000
1673144927.216,-334.961,-882.324,-54.688,-200.684,0.000
1673144927.220,-200.684,-1000.000,-34.180,-130.371,0.000
1673144927.224,241.211,52.246,-13.184,218.262,0.000
1673144927.228,185.059,632.812,-31.738,202.148,0.000
1673144927.232,-250.488,-711.914,-56.641,-158.203,0.000
1673144927.236,-270.996,-1000.000,-38.574,-200.195,0.000
1673144927.239,166.016,6.348,-9.766,147.461,0.000
1673144927.243,265.137,895.020,-23.926,235.840,0.000
1673144927.247,-112.305,-15.625,-52.734,-54.199,0.000
1673144927.251,-247.559,-1000.000,-47.363,-190.918,0.000
1673144927.255,-2.441,-683.105,-23.926,-14.648,0.000
1673144927.259,177.734,-119.629,-23.926,153.809,0.000
