timestamp,TP9,AF7,AF8,TP10,Right AUX
1673805395.790,-31.250,-31.738,-28.809,-18.555,0.000
1673805395.794,-30.273,-25.879,-23.926,-23.438,0.000
1673805395.797,-25.879,-20.508,-27.832,-19.531,0.000
1673805395.801,-10.254,-20.020,-22.949,-20.020,0.000
1673805395.805,-14.648,-20.020,-20.508,-17.578,0.000
1673805395.809,-32.715,-24.414,-24.902,-13.672,0.000
1673805395.813,-31.738,-24.414,-27.832,-21.973,0.000
1673805395.817,-16.602,-15.137,-26.855,-32.715,0.000
1673805395.821,0.000,-10.742,-24.902,-24.414,0.000
1673805395.825,1.465,-14.648,-24.414,-24.902,0.000
1673805395.829,-5.859,-15.625,-17.578,-29.785,0.000
1673805395.833,-5.859,-14.648,-18.555,-23.926,0.000
1673805395.836,-11.230,-14.648,-20.508,-10.742,0.000
1673805395.840,-11.719,-19.043,-11.719,-2.441,0.000
1673805395.844,-24.414,-23.926,-16.602,-14.648,0.000
1673805395.848,-33.691,-23.438,-20.020,-29.297,0.000
1673805395.852,-20.020,-19.043,-15.625,-30.762,0.000
1673805395.856,-12.695,-18.066,-15.137,-16.602,0.000
1673805395.860,-7.812,-13.184,-17.090,-13.672,0.000
1673805395.864,-10.742,-4.395,-11.230,-18.555,0.000
1673805395.868,-9.766,-5.859,-5.371,-12.207,0.000
1673805395.872,-17.578,-16.602,-9.277,-6.836,0.000
1673805395.876,-30.273,-27.832,-11.230,-16.113,0.000
1673805395.879,-47.363,-21.973,-13.672,-26.855,0.000
1673805395.883,-51.758,-17.578,-12.207,-19.043,0.000
1673805395.887,-28.809,-19.531,-14.648,-11.230,0.000
1673805395.891,-28.809,-18.066,-24.902,-9.277,0.000
1673805395.895,-37.109,-19.043,-25.391,-9.277,0.000
1673805395.899,-28.320,-17.578,-18.555,-15.137,0.000
1673805395.903,-26.855,-17.090,-9.766,-4.883,0.000
1673805395.907,-23.438,-22.949,-11.230,11.230,0.000
1673805395.911,-24.902,-22.461,-14.160,10.254,0.000
1673805395.915,-26.855,-19.531,-11.230,-3.418,0.000
1673805395.919,-8.301,-20.020,-10.254,-6.836,0.000
1673805395.922,-6.348,-20.996,-15.625,-10.254,0.000
1673805395.926,-13.184,-23.438,-19.531,-14.648,0.000
1673805395.930,-3.418,-23.926,-17.090,-20.508,0.000
1673805395.934,-3.906,-16.602,-10.254,-12.207,0.000
1673805395.938,-3.906,-11.719,-11.719,-6.348,0.000
1673805395.942,-8.789,-17.578,-14.160,-7.324,0.000
1673805395.946,-14.648,-20.020,-12.207,-16.113,0.000
1673805395.950,-3.418,-17.578,-20.996,-30.762,0.000
1673805395.954,-10.742,-20.996,-26.855,-24.414,0.000
1673805395.958,-21.973,-23.926,-22.949,-9.766,0.000
1673805395.961,-12.695,-27.344,-21.484,-7.324,0.000
1673805395.965,-9.277,-22.949,-19.043,-8.301,0.000
1673805395.969,-23.438,-20.020,-9.766,1.465,0.000
1673805395.973,-34.668,-17.090,-2.930,8.789,0.000
1673805395.977,-27.832,-15.137,-6.836,7.812,0.000
1673805395.981,-28.320,-27.832,-14.648,-8.301,0.000
1673805395.985,-31.738,-23.926,-16.113,-9.766,0.000
1673805395.989,-19.531,-10.742,-10.742,3.418,0.000
1673805395.993,-27.832,-15.137,-12.695,0.488,0.000
1673805395.997,-32.227,-30.273,-15.625,-4.883,0.000
1673805396.001,-18.555,-28.809,-17.578,-10.254,0.000
1673805396.004,-22.461,-18.555,-21.973,-8.301,0.000
1673805396.008,-17.090,-19.531,-19.043,1.465,0.000
1673805396.012,-2.441,-21.973,-12.695,-0.488,0.000
1673805396.016,-8.301,-19.531,-10.254,-9.277,0.000
1673805396.020,-17.578,-21.973,-20.996,-21.973,0.000
1673805396.024,-17.090,-28.809,-25.879,-24.902,0.000
1673805396.028,-13.184,-28.320,-18.066,-20.996,0.000
1673805396.032,-18.555,-23.438,-20.996,-22.949,0.000
1673805396.036,-29.297,-23.926,-28.320,-17.090,0.000
1673805396.040,-34.668,-29.297,-29.297,-13.672,0.000
1673805396.044,-18.066,-29.297,-24.414,-12.207,0.000
1673805396.047,-0.488,-22.461,-21.484,-16.113,0.000
1673805396.051,-17.090,-24.414,-20.996,-17.578,0.000
1673805396.055,-27.832,-29.785,-28.320,-7.812,0.000
1673805396.059,-21.484,-26.855,-32.715,-11.230,0.000
1673805396.063,-16.113,-36.621,-29.785,-19.043,0.000
1673805396.067,-12.207,-31.738,-24.902,-15.625,0.000
1673805396.071,-12.695,-24.414,-23.926,-20.020,0.000
1673805396.075,-19.043,-24.902,-24.414,-10.254,0.000
1673805396.079,-27.832,-24.902,-27.344,0.977,0.000
1673805396.083,-21.484,-26.855,-31.738,1.465,0.000
1673805396.086,-18.555,-21.484,-28.320,-1.953,0.000
1673805396.090,-22.949,-21.484,-32.227,-12.207,0.000
1673805396.094,-37.598,-22.949,-35.156,-19.531,0.000
1673805396.098,-30.762,-25.879,-24.414,-4.395,0.000
1673805396.102,-27.344,-31.250,-25.391,0.977,0.000
1673805396.106,-44.922,-23.926,-27.832,-14.160,0.000
1673805396.110,-38.574,-12.695,-17.578,-8.301,0.000
1673805396.114,-26.367,-19.043,-20.020,-14.648,0.000
1673805396.118,-26.367,-27.832,-24.902,-24.414,0.000
1673805396.122,-28.320,-22.461,-23.438,-20.020,0.000
1673805396.126,-21.484,-14.648,-20.020,-9.277,0.000
1673805396.129,-19.043,-19.043,-18.066,-11.230,0.000
1673805396.133,-33.203,-21.484,-19.531,-19.043,0.000
1673805396.137,-41.016,-24.414,-20.996,-13.184,0.000
1673805396.141,-25.879,-30.762,-23.438,-20.996,0.000
1673805396.145,-28.320,-31.250,-24.902,-22.461,0.000
1673805396.149,-30.762,-28.320,-24.414,-19.043,0.000
1673805396.153,-30.273,-28.320,-28.320,-27.832,0.000
1673805396.157,-32.715,-30.762,-29.297,-25.391,0.000
1673805396.161,-20.996,-24.414,-24.902,-19.531,0.000
1673805396.165,-6.836,-17.578,-19.531,-23.438,0.000
1673805396.169,-4.883,-22.949,-22.461,-33.691,0.000
1673805396.172,-20.508,-23.438,-23.926,-27.832,0.000
1673805396.176,-30.273,-22.461,-23.926,-19.043,0.000
1673805396.180,-28.320,-33.691,-27.832,-21.973,0.000
1673805396.184,-25.879,-41.992,-25.391,-29.785,0.000
1673805396.188,-17.578,-30.762,-26.855,-19.531,0.000
