timestamp,TP9,AF7,AF8,TP10,Right AUX
0.000,-26.367,-25.391,-29.785,-14.160,0.000
4.000,-26.367,-25.391,-33.203,-8.301,0.000
8.000,-33.203,-26.855,-33.691,-3.418,0.000
12.000,-29.297,-30.762,-33.691,-2.930,0.000
16.000,-23.926,-36.133,-34.668,-7.324,0.000
20.000,-24.902,-34.668,-31.250,-17.578,0.000
23.000,-20.996,-33.691,-33.203,-24.414,0.000
27.000,-19.043,-37.109,-32.715,-18.066,0.000
31.000,-20.996,-40.527,-31.250,-11.230,0.000
35.000,-20.020,-41.504,-36.621,-11.719,0.000
39.000,-33.203,-38.086,-33.203,-11.719,0.000
43.000,-43.457,-36.621,-36.133,-11.719,0.000
47.000,-31.250,-36.133,-35.645,-19.043,0.000
51.000,-7.812,-32.227,-30.762,-5.859,0.000
55.000,-4.883,-30.273,-28.809,8.301,0.000
59.000,-22.949,-38.086,-27.344,-22.461,0.000
62.000,-27.344,-46.387,-32.715,-52.734,0.000
66.000,-38.086,-44.434,-35.645,-65.918,0.000
70.000,-90.820,-41.992,-31.250,-69.824,0.000
74.000,-125.488,-53.711,-34.180,-81.543,0.000
78.000,-125.000,-62.500,-40.527,-100.098,0.000
82.000,-120.605,-54.199,-37.598,-109.375,0.000
86.000,-116.211,-47.363,-39.062,-135.254,0.000
90.000,-126.465,-52.734,-48.340,-154.297,0.000
94.000,-156.250,-60.059,-52.734,-157.715,0.000
98.000,-166.992,-61.523,-47.852,-154.297,0.000
102.000,-164.062,-77.148,-38.086,-153.320,0.000
105.000,-161.621,-72.754,-43.457,-157.715,0.000
109.000,-159.180,-60.059,-51.758,-163.086,0.000
113.000,-166.992,-59.082,-53.711,-155.273,0.000
117.000,-158.203,-63.477,-47.363,-132.324,0.000
121.000,-151.855,-70.801,-42.969,-133.789,0.000
125.000,-161.133,-67.871,-39.062,-133.301,0.000
129.000,-145.996,-64.453,-26.855,-116.211,0.000
133.000,-125.977,-60.547,-40.039,-117.188,0.000
137.000,-123.047,-58.594,-45.898,-124.023,0.000
141.000,-120.605,-63.477,-29.785,-118.652,0.000
145.000,-123.535,-63.965,-26.855,-106.934,0.000
148.000,-121.094,-58.594,-29.785,-103.027,0.000
152.000,-116.699,-55.176,-28.809,-100.586,0.000
156.000,-95.215,-49.316,-27.832,-84.473,0.000
160.000,-72.266,-49.805,-33.203,-78.125,0.000
164.000,-71.777,-44.434,-35.645,-77.148,0.000
168.000,-73.242,-42.969,-35.645,-68.359,0.000
172.000,-63.965,-42.969,-34.668,-60.059,0.000
176.000,-48.340,-35.156,-33.203,-48.340,0.000
180.000,-54.688,-38.574,-34.668,-41.504,0.000
184.000,-59.082,-42.969,-37.109,-53.711,0.000
188.000,-48.340,-41.016,-33.203,-60.059,0.000
191.000,-41.016,-41.504,-28.320,-50.293,0.000
195.000,-44.922,-37.598,-29.785,-44.434,0.000
199.000,-53.223,-40.039,-30.762,-53.223,0.000
203.000,-58.105,-42.480,-32.227,-51.758,0.000
207.000,-55.176,-38.574,-35.645,-43.457,0.000
211.000,-39.551,-41.992,-37.598,-32.715,0.000
215.000,-42.480,-38.574,-34.180,-25.879,0.000
219.000,-55.176,-32.227,-27.344,-31.738,0.000
223.000,-44.922,-37.109,-30.762,-26.855,0.000
227.000,-41.992,-35.645,-32.715,-21.484,0.000
230.000,-44.434,-35.156,-30.762,-26.855,0.000
234.000,-51.758,-37.598,-31.738,-30.273,0.000
238.000,-51.270,-34.180,-31.738,-29.785,0.000
242.000,-48.828,-32.227,-31.738,-20.996,0.000
246.000,-37.598,-28.809,-35.156,-16.602,0.000
250.000,-27.344,-32.715,-39.551,-35.156,0.000
254.000,-18.555,-29.785,-34.668,-41.992,0.000
258.000,-4.395,-26.855,-29.297,-30.273,0.000
262.000,-12.207,-23.926,-27.832,-17.090,0.000
266.000,-23.926,-21.973,-23.438,-11.230,0.000
270.000,-29.785,-33.203,-31.250,-21.484,0.000
273.000,-30.762,-33.203,-39.551,-27.832,0.000
277.000,-31.250,-31.738,-36.133,-24.902,0.000
281.000,-33.203,-41.992,-33.203,-30.762,0.000
285.000,-35.156,-35.156,-39.062,-37.109,0.000
289.000,-40.039,-26.855,-40.039,-31.738,0.000
293.000,-32.715,-30.762,-34.668,-23.438,0.000
297.000,-42.480,-31.738,-35.156,-23.438,0.000
301.000,-45.898,-27.344,-30.273,-32.227,0.000
305.000,-32.227,-22.461,-24.902,-33.203,0.000
309.000,-34.668,-18.555,-24.902,-18.066,0.000
313.000,-31.738,-22.949,-22.949,-13.672,0.000
316.000,-33.203,-31.250,-26.855,-32.715,0.000
320.000,-36.621,-29.785,-30.762,-32.227,0.000
324.000,-23.438,-28.809,-28.809,-16.113,0.000
328.000,-20.996,-30.273,-31.738,-25.879,0.000
332.000,-24.414,-27.832,-33.691,-45.898,0.000
336.000,-13.672,-21.973,-30.762,-44.434,0.000
340.000,-7.324,-15.137,-32.227,-29.785,0.000
344.000,-13.672,-19.043,-31.250,-17.578,0.000
348.000,-17.578,-27.344,-27.832,-21.484,0.000
352.000,-12.695,-22.949,-37.598,-29.297,0.000
355.000,-3.906,-24.414,-40.527,-19.043,0.000
359.000,-12.695,-24.414,-35.645,-14.160,0.000
363.000,-19.531,-25.879,-36.133,-17.578,0.000
367.000,-34.668,-29.297,-37.598,-18.066,0.000
371.000,-56.152,-30.273,-33.691,-18.555,0.000
375.000,-47.363,-32.715,-29.297,-15.137,0.000
379.000,-43.945,-31.738,-33.691,-25.879,0.000
383.000,-41.992,-30.273,-34.668,-38.086,0.000
387.000,-34.180,-28.320,-24.414,-38.086,0.000
391.000,-41.016,-27.832,-20.020,-29.785,0.000
395.000,-43.457,-22.461,-21.973,-19.043,0.000
398.000,-34.668,-17.090,-25.391,-13.672,0.000
402.000,-25.391,-20.020,-25.391,-18.066,0.000
406.000,-33.203,-23.926,-23.438,-24.902,0.000
410.000,-56.641,-28.809,-23.926,-25.391,0.000
414.000,-61.035,-29.297,-21.973,-26.855,0.000
418.000,-40.039,-28.320,-20.996,-38.086,0.000
422.000,-34.668,-30.273,-25.879,-38.574,0.000
426.000,-33.691,-27.344,-24.902,-35.156,0.000
430.000,-42.480,-27.832,-22.461,-35.156,0.000
434.000,-48.828,-29.297,-24.414,-33.203,0.000
438.000,-50.781,-28.320,-26.367,-40.527,0.000
441.000,-61.035,-28.320,-22.949,-34.180,0.000
445.000,-45.898,-26.367,-22.949,-18.066,0.000
449.000,-27.832,-22.461,-24.902,-17.090,0.000
