timestamp,TP9,AF7,AF8,TP10,Right AUX
1673805693.440,-48.340,-34.180,-20.508,-30.762,0.000
1673805693.443,-36.621,-39.551,-25.879,-30.762,0.000
1673805693.447,-23.926,-34.668,-28.320,-31.738,0.000
1673805693.451,-19.531,-25.391,-19.531,-27.344,0.000
1673805693.455,-14.648,-22.461,-21.973,-23.438,0.000
1673805693.459,-1.953,-27.832,-29.785,-17.578,0.000
1673805693.463,-7.812,-29.297,-32.715,-18.066,0.000
1673805693.467,-20.020,-47.852,-25.391,-30.762,0.000
1673805693.471,-11.230,-35.156,-15.625,-23.926,0.000
1673805693.475,-8.789,-18.066,-16.113,-16.602,0.000
1673805693.479,-10.742,-24.414,-28.320,-16.602,0.000
1673805693.482,-7.812,-26.855,-31.738,-20.508,0.000
1673805693.486,-8.301,-29.785,-28.809,-28.320,0.000
1673805693.490,2.930,-18.555,-18.555,-12.207,0.000
1673805693.494,1.953,-15.625,-10.742,-5.859,0.000
1673805693.498,-11.230,-20.996,-19.531,-12.207,0.000
1673805693.502,-13.672,-25.879,-22.949,-18.066,0.000
1673805693.506,-23.438,-25.879,-24.414,-23.438,0.000
1673805693.510,-20.020,-14.160,-28.809,-10.254,0.000
1673805693.514,-14.648,-18.066,-35.645,-10.742,0.000
1673805693.518,-20.020,-29.785,-36.133,-21.973,0.000
1673805693.522,-15.137,-21.973,-22.949,-26.855,0.000
1673805693.525,-14.160,-11.719,-20.996,-27.344,0.000
1673805693.529,-15.137,-11.719,-22.949,-16.602,0.000
1673805693.533,-8.789,-6.836,-20.996,-14.648,0.000
1673805693.537,-13.672,-14.160,-28.320,-24.902,0.000
1673805693.541,-13.184,-17.090,-28.320,-24.414,0.000
1673805693.545,-6.836,-8.301,-21.484,-16.113,0.000
1673805693.549,-12.207,-7.812,-21.973,-10.742,0.000
1673805693.553,-13.672,-8.789,-29.297,-27.832,0.000
1673805693.557,-4.395,-9.766,-28.809,-41.016,0.000
1673805693.561,11.230,-6.836,-18.555,-21.484,0.000
1673805693.565,-1.465,-19.531,-25.391,-22.461,0.000
1673805693.568,-4.883,-31.250,-33.203,-31.738,0.000
1673805693.572,3.906,-22.461,-31.738,-28.320,0.000
1673805693.576,-5.371,-16.602,-23.438,-22.461,0.000
1673805693.580,-9.277,-20.508,-18.066,-3.906,0.000
1673805693.584,-3.418,-8.789,-9.766,2.930,0.000
1673805693.588,-5.371,-4.883,-9.277,-13.184,0.000
1673805693.592,-17.090,-18.555,-16.602,-20.996,0.000
1673805693.596,-20.996,-19.531,-17.578,-14.648,0.000
1673805693.600,-10.742,-17.578,-21.973,-10.742,0.000
1673805693.604,-15.625,-25.879,-16.602,-6.836,0.000
1673805693.607,-19.531,-36.133,-11.230,0.000,0.000
1673805693.611,-21.484,-26.855,-16.602,4.395,0.000
1673805693.615,-44.434,-26.855,-24.414,4.883,0.000
1673805693.619,-36.133,-23.926,-16.113,1.953,0.000
1673805693.623,-18.066,-7.812,-9.277,-2.930,0.000
1673805693.627,-20.996,-10.254,-11.719,-7.812,0.000
1673805693.631,-20.508,-25.391,-13.184,-12.695,0.000
1673805693.635,-8.301,-37.598,-25.879,-14.160,0.000
1673805693.639,1.465,-30.762,-29.785,-13.672,0.000
1673805693.643,-3.418,-21.973,-15.625,-12.695,0.000
1673805693.647,2.441,-19.531,-8.301,-10.254,0.000
1673805693.650,8.301,-12.695,-7.324,-10.254,0.000
1673805693.654,-1.465,-24.902,-20.020,-23.926,0.000
1673805693.658,0.488,-24.902,-25.391,-22.949,0.000
1673805693.662,4.395,-12.695,-20.996,-0.977,0.000
1673805693.666,10.254,-8.789,-27.832,4.395,0.000
1673805693.670,13.184,-12.695,-29.785,-9.766,0.000
1673805693.674,8.301,-21.484,-21.973,-18.066,0.000
1673805693.678,4.883,-21.484,-18.066,-18.066,0.000
1673805693.682,-1.465,-21.484,-23.438,-25.391,0.000
1673805693.686,-11.719,-20.996,-26.367,-19.531,0.000
1673805693.690,-18.555,-31.250,-24.414,-7.324,0.000
1673805693.693,-23.926,-34.668,-24.414,-6.836,0.000
1673805693.697,-22.461,-25.391,-29.297,-6.836,0.000
1673805693.701,-24.414,-23.926,-27.344,-10.254,0.000
1673805693.705,-23.926,-28.320,-27.832,-19.531,0.000
1673805693.709,-10.254,-21.973,-33.203,-14.160,0.000
1673805693.713,-17.578,-18.555,-31.250,-3.906,0.000
1673805693.717,-40.039,-20.508,-29.785,-11.230,0.000
1673805693.721,-37.109,-21.973,-33.203,-20.996,0.000
1673805693.725,-27.344,-23.438,-34.668,-15.625,0.000
1673805693.729,-14.648,-27.344,-26.367,-15.625,0.000
1673805693.732,0.000,-23.438,-18.066,-15.137,0.000
1673805693.736,-6.348,-13.672,-20.508,-14.648,0.000
1673805693.740,-10.742,-23.438,-30.762,-26.367,0.000
1673805693.744,-10.254,-34.180,-40.527,-31.738,0.000
1673805693.748,-12.695,-28.320,-37.109,-37.109,0.000
1673805693.752,3.418,-24.902,-25.391,-39.551,0.000
1673805693.756,8.301,-23.438,-30.273,-24.902,0.000
1673805693.760,2.441,-24.902,-36.133,-11.719,0.000
1673805693.764,3.418,-25.391,-28.809,-18.066,0.000
1673805693.768,-0.977,-29.785,-27.832,-24.414,0.000
1673805693.772,-3.906,-39.551,-31.250,-22.461,0.000
1673805693.775,-14.648,-38.574,-34.180,-22.461,0.000
1673805693.779,-27.344,-41.504,-34.668,-24.902,0.000
1673805693.783,-16.602,-40.039,-26.855,-20.508,0.000
1673805693.787,-3.418,-28.320,-23.438,-20.020,0.000
1673805693.791,0.488,-29.785,-30.273,-36.621,0.000
1673805693.795,-10.254,-33.691,-37.109,-30.762,0.000
1673805693.799,-41.016,-35.156,-37.109,-12.207,0.000
1673805693.803,-49.805,-39.551,-35.645,-19.043,0.000
1673805693.807,-45.898,-36.133,-27.832,-23.926,0.000
1673805693.811,-36.621,-23.926,-32.715,-10.742,0.000
1673805693.815,-28.809,-23.926,-41.016,-7.812,0.000
1673805693.818,-21.973,-36.133,-24.414,-14.648,0.000
1673805693.822,-21.484,-38.574,-21.973,-20.020,0.000
1673805693.826,-20.020,-28.320,-20.508,-15.625,0.000
1673805693.830,-13.672,-28.809,-18.555,-3.906,0.000
1673805693.834,-22.949,-28.809,-21.973,-12.207,0.000
1673805693.838,-29.785,-29.785,-27.344,-29.785,0.000
1673805693.842,-29.297,-25.879,-27.832,-25.391,0.000
1673805693.846,-24.414,-22.461,-16.602,-13.184,0.000
1673805693.850,-20.996,-21.484,-30.762,-22.461,0.000
1673805693.854,-22.949,-17.578,-41.992,-26.855,0.000
1673805693.857,-22.949,-22.461,-24.902,-22.949,0.000
1673805693.861,-15.625,-17.090,-23.926,-27.832,0.000
1673805693.865,-8.301,-9.766,-26.855,-26.367,0.000
1673805693.869,-8.789,-19.531,-25.879,-25.879,0.000
1673805693.873,-2.930,-30.762,-26.367,-18.555,0.000
1673805693.877,-17.578,-21.973,-17.090,-9.277,0.000
1673805693.881,-27.344,-17.090,-14.648,-18.555,0.000
1673805693.885,-23.438,-12.695,-21.484,-25.391,0.000
1673805693.889,-16.113,-8.789,-25.879,-18.555,0.000
1673805693.893,-9.766,-32.715,-34.668,-24.414,0.000
1673805693.897,-31.250,-34.668,-30.273,-15.625,0.000
1673805693.900,-42.480,-21.484,-20.996,-12.207,0.000
1673805693.904,-45.410,-20.020,-21.484,-23.926,0.000
1673805693.908,-51.270,-18.066,-19.531,-10.254,0.000
1673805693.912,-38.574,-26.855,-18.066,-2.930,0.000
1673805693.916,-22.949,-26.855,-20.508,-13.184,0.000
1673805693.920,-7.324,-17.090,-30.762,-20.996,0.000
1673805693.924,-6.348,-17.578,-29.785,-10.254,0.000
1673805693.928,-24.902,-32.227,-21.973,-4.395,0.000
1673805693.932,-41.504,-34.180,-27.344,-8.301,0.000
1673805693.936,-30.762,-20.020,-24.414,0.488,0.000
1673805693.940,-23.926,-18.555,-18.555,-5.859,0.000
1673805693.943,-26.855,-18.066,-25.391,-16.602,0.000
1673805693.947,-12.207,-15.137,-29.785,-4.883,0.000
1673805693.951,-7.324,-32.227,-21.973,-10.254,0.000
1673805693.955,-13.672,-40.527,-21.484,-22.461,0.000
1673805693.959,-21.973,-33.203,-27.344,-28.809,0.000
1673805693.963,-25.879,-27.344,-27.832,-26.855,0.000
1673805693.967,-15.137,-23.926,-19.531,-18.555,0.000
1673805693.971,-11.230,-19.043,-2.441,-6.348,0.000
1673805693.975,-16.602,-26.367,-15.137,-17.090,0.000
1673805693.979,-14.648,-28.809,-26.367,-17.578,0.000
1673805693.982,-2.930,-21.973,-19.531,-0.977,0.000
1673805693.986,-0.488,-30.273,-27.832,-18.555,0.000
1673805693.990,4.395,-32.227,-30.273,-17.578,0.000
1673805693.994,-10.254,-36.621,-35.156,-13.184,0.000
1673805693.998,-19.043,-36.621,-42.969,-14.648,0.000
1673805694.002,-11.719,-31.738,-41.504,-19.043,0.000
1673805694.006,-11.719,-13.672,-30.273,-21.973,0.000
1673805694.010,-5.859,-14.648,-21.973,-18.066,0.000
1673805694.014,0.488,-26.855,-28.809,-28.320,0.000
1673805694.018,-4.883,-24.414,-36.133,-32.715,0.000
1673805694.022,-12.695,-25.391,-28.809,-27.832,0.000
1673805694.025,-28.809,-31.738,-28.320,-25.391,0.000
1673805694.029,-31.250,-37.109,-30.273,-18.555,0.000
1673805694.033,-12.207,-35.156,-28.320,-26.367,0.000
1673805694.037,-9.277,-27.832,-37.109,-36.133,0.000
1673805694.041,-13.672,-25.391,-41.992,-23.926,0.000
1673805694.045,-13.184,-16.113,-26.367,-23.926,0.000
1673805694.049,-13.184,-14.160,-26.855,-34.668,0.000
1673805694.053,-15.137,-22.949,-36.133,-37.598,0.000
1673805694.057,-33.691,-24.414,-30.762,-44.434,0.000
1673805694.061,-35.156,-21.484,-26.367,-40.039,0.000
1673805694.065,-30.273,-25.879,-24.414,-33.203,0.000
1673805694.068,-26.855,-37.598,-23.926,-32.227,0.000
1673805694.072,-2.930,-38.574,-24.902,-23.438,0.000
1673805694.076,6.836,-30.273,-19.043,-27.344,0.000
1673805694.080,-2.441,-35.645,-25.879,-27.832,0.000
1673805694.084,-24.902,-34.180,-39.062,-23.926,0.000
1673805694.088,-44.922,-30.762,-32.227,-28.809,0.000
1673805694.092,-39.062,-32.715,-22.949,-35.645,0.000
1673805694.096,-26.855,-35.156,-31.250,-36.133,0.000
1673805694.100,-33.203,-37.598,-39.062,-34.668,0.000
1673805694.104,-24.414,-28.809,-29.785,-38.086,0.000
1673805694.107,-18.066,-28.809,-24.902,-35.156,0.000
1673805694.111,-26.367,-37.109,-33.203,-33.691,0.000
1673805694.115,-19.531,-22.949,-29.785,-34.180,0.000
1673805694.119,-25.879,-22.949,-24.414,-35.645,0.000
1673805694.123,-38.574,-28.809,-27.832,-24.902,0.000
1673805694.127,-44.922,-23.438,-29.297,-11.230,0.000
1673805694.131,-37.109,-31.250,-27.832,-18.555,0.000
1673805694.135,-24.902,-27.344,-15.137,-16.113,0.000
1673805694.139,-27.344,-26.367,-13.672,-6.348,0.000
1673805694.143,-34.180,-38.086,-37.109,-12.695,0.000
1673805694.147,-15.625,-33.203,-37.109,-19.043,0.000
1673805694.150,-10.254,-29.297,-13.672,-27.832,0.000
1673805694.154,-24.414,-29.785,-13.184,-42.969,0.000
1673805694.158,-23.438,-23.438,-18.066,-45.410,0.000
1673805694.162,-25.391,-23.926,-22.461,-37.598,0.000
1673805694.166,-19.531,-26.855,-32.227,-35.156,0.000
1673805694.170,-17.090,-22.461,-26.367,-24.902,0.000
1673805694.174,-25.879,-24.902,-18.066,-4.395,0.000
1673805694.178,-20.020,-24.902,-16.602,0.488,0.000
1673805694.182,0.000,-18.066,-21.484,-8.301,0.000
1673805694.186,-8.789,-12.695,-29.297,-11.719,0.000
1673805694.190,-27.832,-18.066,-25.879,-6.348,0.000
1673805694.193,-39.062,-24.414,-16.602,4.395,0.000
1673805694.197,-46.387,-27.344,-12.695,3.418,0.000
1673805694.201,-45.410,-32.227,-22.949,-14.160,0.000
1673805694.205,-30.273,-34.668,-28.809,-23.926,0.000
1673805694.209,-9.277,-18.555,-21.484,-17.090,0.000
1673805694.213,-12.207,-23.438,-27.832,-23.438,0.000
1673805694.217,-15.625,-28.809,-36.133,-24.902,0.000
1673805694.221,0.488,-19.043,-25.879,-18.555,0.000
1673805694.225,-14.160,-12.207,-16.602,-11.230,0.000
1673805694.229,-46.387,-20.508,-21.484,-13.184,0.000
1673805694.232,-39.062,-23.438,-27.832,-21.973,0.000
1673805694.236,-23.438,-22.461,-22.949,-12.695,0.000
1673805694.240,-24.414,-33.203,-23.926,-12.207,0.000
1673805694.244,-39.551,-36.621,-39.062,-28.809,0.000
1673805694.248,-31.250,-24.902,-28.809,-30.273,0.000
1673805694.252,-20.020,-15.625,-29.785,-27.832,0.000
1673805694.256,-28.320,-26.855,-54.199,-31.250,0.000
1673805694.260,-26.855,-29.785,-38.086,-28.809,0.000
1673805694.264,-35.156,-26.367,-24.902,-31.738,0.000
1673805694.268,-33.691,-29.785,-24.414,-38.086,0.000
1673805694.272,-29.785,-36.133,-23.438,-41.504,0.000
1673805694.275,-35.156,-24.902,-22.949,-29.785,0.000
1673805694.279,-26.855,-16.602,-17.578,-11.230,0.000
1673805694.283,-30.273,-25.391,-20.508,-15.137,0.000
1673805694.287,-35.156,-23.438,-22.461,-22.949,0.000
1673805694.291,-32.715,-23.926,-26.855,-23.438,0.000
1673805694.295,-30.273,-26.367,-28.809,-24.414,0.000
1673805694.299,-21.973,-26.367,-26.855,-22.949,0.000
1673805694.303,-18.555,-17.578,-26.855,-20.020,0.000
1673805694.307,-12.207,-19.531,-27.344,-17.090,0.000
1673805694.311,-12.207,-25.879,-26.367,-12.207,0.000
1673805694.315,-36.133,-27.344,-27.344,-19.531,0.000
1673805694.318,-37.598,-29.785,-37.598,-31.738,0.000
1673805694.322,-33.691,-29.785,-39.551,-36.133,0.000
