timestamp,TP9,AF7,AF8,TP10,Right AUX
0.000,-34.668,-25.879,-33.203,-14.648,0.000
4.000,-30.762,-21.973,-32.715,-20.996,0.000
8.000,-32.715,-26.367,-39.551,-33.691,0.000
12.000,-37.598,-25.879,-37.598,-26.367,0.000
16.000,-41.504,-27.344,-34.668,-22.949,0.000
20.000,-26.855,-28.809,-35.645,-34.668,0.000
23.000,-20.508,-27.344,-33.691,-33.203,0.000
27.000,-31.738,-28.809,-37.598,-29.785,0.000
31.000,-48.340,-25.391,-40.527,-28.320,0.000
35.000,-52.246,-20.020,-37.109,-20.508,0.000
39.000,-40.527,-23.926,-40.039,-25.879,0.000
43.000,-32.715,-29.297,-41.016,-32.227,0.000
47.000,-20.996,-30.273,-39.062,-31.250,0.000
51.000,-12.207,-32.715,-37.598,-28.809,0.000
55.000,-26.367,-37.598,-33.203,-32.227,0.000
59.000,-21.973,-39.551,-34.180,-29.785,0.000
62.000,-10.742,-31.738,-33.203,-21.484,0.000
66.000,-23.438,-30.273,-36.621,-31.738,0.000
70.000,-16.113,-38.574,-43.457,-30.762,0.000
74.000,-0.977,-30.273,-35.156,-3.418,0.000
78.000,-25.391,-36.133,-23.438,-2.930,0.000
82.000,-62.012,-51.270,-20.996,-21.484,0.000
86.000,-68.848,-51.758,-19.043,-30.273,0.000
90.000,-72.754,-53.711,-16.113,-35.645,0.000
94.000,-74.707,-61.035,-12.695,-33.691,0.000
98.000,-71.289,-66.406,-10.742,-30.762,0.000
102.000,-78.125,-66.895,-11.719,-42.969,0.000
105.000,-80.078,-68.848,-10.742,-62.012,0.000
109.000,-83.984,-74.219,-7.812,-60.547,0.000
113.000,-92.285,-82.520,-3.906,-57.129,0.000
117.000,-97.656,-89.355,-4.883,-71.777,0.000
121.000,-103.516,-89.355,-7.812,-67.383,0.000
125.000,-107.422,-95.703,-3.418,-66.895,0.000
129.000,-99.609,-95.215,4.883,-72.754,0.000
133.000,-98.145,-92.285,9.766,-61.035,0.000
137.000,-99.121,-94.238,10.742,-64.453,0.000
141.000,-84.473,-95.703,15.137,-59.570,0.000
145.000,-94.727,-102.539,15.137,-53.223,0.000
148.000,-104.980,-99.609,10.742,-52.246,0.000
152.000,-93.750,-95.703,16.602,-44.434,0.000
156.000,-100.586,-100.098,17.578,-51.758,0.000
160.000,-99.609,-100.586,9.766,-50.293,0.000
164.000,-91.797,-98.633,10.742,-44.434,0.000
