timestamp,TP9,AF7,AF8,TP10,Right AUX
1673806243.530,-35.156,-25.391,-29.785,-19.531,0.000
1673806243.534,-40.039,-26.367,-15.137,-20.020,0.000
1673806243.538,-34.180,-33.203,-18.555,-16.113,0.000
1673806243.542,-19.043,-34.668,-28.809,-14.160,0.000
1673806243.546,-14.648,-20.020,-33.691,-16.113,0.000
1673806243.550,-20.508,-17.090,-25.879,-17.578,0.000
1673806243.554,-17.578,-25.879,-14.648,-12.207,0.000
1673806243.558,-17.090,-30.273,-19.043,-6.836,0.000
1673806243.562,-17.578,-23.926,-23.926,-14.160,0.000
1673806243.565,-14.648,-20.020,-24.414,-16.113,0.000
1673806243.569,-14.160,-32.227,-36.133,-6.836,0.000
1673806243.573,-23.926,-41.504,-44.922,-10.254,0.000
1673806243.577,-27.344,-28.809,-29.785,-14.648,0.000
1673806243.581,-12.207,-16.602,-16.602,-17.090,0.000
1673806243.585,-10.742,-16.602,-18.555,-14.160,0.000
1673806243.589,-26.855,-21.484,-24.902,-11.719,0.000
1673806243.593,-25.391,-26.855,-31.250,-17.578,0.000
1673806243.597,-23.438,-30.273,-30.762,-24.414,0.000
1673806243.601,-29.297,-26.367,-30.273,-21.973,0.000
1673806243.605,-41.016,-25.879,-25.391,-24.902,0.000
1673806243.608,-46.875,-29.297,-25.879,-32.227,0.000
1673806243.612,-40.527,-30.762,-29.785,-27.832,0.000
1673806243.616,-35.156,-32.715,-27.832,-22.461,0.000
1673806243.620,-34.180,-32.227,-26.367,-20.996,0.000
1673806243.624,-36.133,-25.391,-26.367,-18.066,0.000
1673806243.628,-34.668,-32.715,-26.367,-27.832,0.000
1673806243.632,-32.227,-48.340,-31.250,-34.668,0.000
1673806243.636,-29.297,-35.156,-32.715,-26.855,0.000
1673806243.640,-27.344,-24.414,-24.902,-21.484,0.000
1673806243.644,-36.133,-20.996,-26.367,-11.719,0.000
1673806243.647,-43.945,-22.461,-25.879,-18.555,0.000
1673806243.651,-37.109,-34.668,-28.809,-21.973,0.000
1673806243.655,-27.344,-34.180,-43.457,-5.371,0.000
1673806243.659,-28.809,-15.137,-34.180,-2.441,0.000
1673806243.663,-38.086,-19.531,-20.020,-17.578,0.000
1673806243.667,-38.086,-25.391,-25.879,-25.391,0.000
1673806243.671,-38.086,-26.855,-31.250,-24.414,0.000
1673806243.675,-39.062,-35.645,-33.691,-20.020,0.000
1673806243.679,-37.109,-28.809,-17.578,-23.438,0.000
1673806243.683,-37.598,-29.297,-12.695,-27.344,0.000
1673806243.687,-32.227,-29.785,-22.461,-20.508,0.000
1673806243.690,-32.227,-23.438,-23.926,-21.973,0.000
1673806243.694,-34.668,-23.926,-20.996,-22.461,0.000
1673806243.698,-32.227,-18.555,-24.902,-20.996,0.000
1673806243.702,-33.691,-15.137,-25.391,-20.996,0.000
1673806243.706,-31.250,-20.508,-25.879,-19.043,0.000
1673806243.710,-31.250,-19.043,-29.785,-28.809,0.000
1673806243.714,-28.809,-25.879,-24.902,-30.762,0.000
1673806243.718,-20.020,-36.621,-20.508,-26.855,0.000
1673806243.722,-18.066,-26.855,-19.531,-20.996,0.000
