timestamp,TP9,AF7,AF8,TP10,Right AUX
1673806009.813,20.020,-10.254,-20.508,4.883,0.000
1673806009.817,-1.953,-12.207,-24.414,-0.977,0.000
1673806009.821,0.488,-14.648,-26.367,-10.742,0.000
1673806009.825,6.348,-14.648,-20.020,-19.043,0.000
1673806009.829,-6.348,-14.648,-14.160,-20.508,0.000
1673806009.833,-9.766,-19.531,-11.719,-5.371,0.000
1673806009.837,-11.719,-20.996,-19.043,-9.277,0.000
1673806009.841,-13.672,-24.414,-27.344,-20.996,0.000
1673806009.844,-5.371,-23.926,-22.461,-22.949,0.000
1673806009.848,-6.348,-22.461,-23.926,-23.438,0.000
1673806009.852,-12.207,-20.020,-24.414,-26.367,0.000
1673806009.856,-5.859,-17.578,-21.484,-17.090,0.000
1673806009.860,-0.488,-15.625,-20.020,-15.137,0.000
1673806009.864,-2.930,-19.531,-24.902,-25.391,0.000
1673806009.868,-10.254,-27.832,-28.809,-26.855,0.000
1673806009.872,-11.230,-31.250,-27.344,-30.762,0.000
1673806009.876,-1.465,-26.367,-26.367,-36.133,0.000
1673806009.880,-0.977,-22.461,-29.297,-32.715,0.000
1673806009.884,-2.930,-25.879,-36.621,-27.832,0.000
1673806009.887,-6.348,-23.438,-36.621,-38.086,0.000
1673806009.891,-14.648,-19.531,-31.250,-38.574,0.000
1673806009.895,-17.090,-29.297,-32.715,-38.086,0.000
1673806009.899,-12.207,-27.344,-34.668,-37.109,0.000
1673806009.903,-2.441,-17.090,-34.180,-29.297,0.000
1673806009.907,2.441,-15.625,-36.133,-40.527,0.000
1673806009.911,-6.348,-20.996,-34.668,-54.199,0.000
1673806009.915,-16.602,-30.273,-34.668,-48.828,0.000
1673806009.919,-18.066,-40.527,-39.551,-44.922,0.000
1673806009.923,-18.066,-37.109,-37.598,-56.152,0.000
1673806009.926,-12.207,-29.297,-36.621,-59.570,0.000
1673806009.930,-12.695,-29.785,-37.598,-47.363,0.000
1673806009.934,-20.508,-30.762,-34.668,-36.621,0.000
1673806009.938,-31.250,-28.320,-34.180,-35.645,0.000
1673806009.942,-30.273,-31.738,-34.180,-40.527,0.000
1673806009.946,-17.578,-36.621,-35.645,-38.086,0.000
1673806009.950,-3.906,-31.250,-35.156,-27.344,0.000
1673806009.954,-7.324,-30.273,-37.109,-44.434,0.000
1673806009.958,-25.391,-31.738,-36.621,-57.129,0.000
1673806009.962,-25.879,-34.180,-35.645,-41.504,0.000
1673806009.966,-20.020,-36.133,-35.645,-29.297,0.000
1673806009.969,-29.785,-42.969,-32.715,-33.691,0.000
1673806009.973,-33.691,-42.969,-37.109,-39.062,0.000
1673806009.977,-27.344,-39.551,-42.969,-38.574,0.000
1673806009.981,-31.250,-39.062,-38.086,-33.203,0.000
1673806009.985,-39.551,-40.039,-35.645,-30.273,0.000
1673806009.989,-39.551,-44.434,-40.039,-32.715,0.000
1673806009.993,-32.715,-39.551,-37.109,-31.738,0.000
1673806009.997,-29.297,-36.621,-39.062,-27.832,0.000
1673806010.001,-35.645,-37.109,-47.363,-27.344,0.000
1673806010.005,-33.203,-37.598,-39.062,-35.645,0.000
1673806010.008,-22.949,-47.852,-33.691,-41.992,0.000
1673806010.012,-20.996,-47.363,-43.945,-41.992,0.000
1673806010.016,-12.695,-33.203,-44.922,-36.621,0.000
1673806010.020,-21.973,-29.785,-37.598,-33.691,0.000
1673806010.024,-12.207,-27.344,-34.668,-38.086,0.000
1673806010.028,2.930,-30.762,-41.016,-39.062,0.000
1673806010.032,-15.137,-36.133,-44.922,-38.086,0.000
1673806010.036,-22.949,-32.715,-38.086,-39.551,0.000
1673806010.040,-24.414,-30.762,-34.180,-40.039,0.000
1673806010.044,-24.414,-39.551,-35.645,-47.852,0.000
1673806010.048,-16.113,-37.109,-36.133,-41.992,0.000
1673806010.051,-16.602,-24.414,-37.109,-35.156,0.000
1673806010.055,-24.902,-30.762,-39.551,-39.551,0.000
1673806010.059,-19.043,-34.668,-41.504,-43.457,0.000
1673806010.063,-12.207,-27.832,-37.598,-34.668,0.000
1673806010.067,-22.949,-32.715,-36.133,-22.949,0.000
1673806010.071,-29.785,-37.598,-37.109,-23.926,0.000
1673806010.075,-25.879,-37.109,-37.109,-29.785,0.000
1673806010.079,-23.438,-35.645,-38.086,-26.855,0.000
1673806010.083,-20.508,-34.180,-45.410,-19.043,0.000
1673806010.087,-24.414,-39.551,-41.016,-19.531,0.000
1673806010.091,-20.020,-36.133,-31.250,-20.020,0.000
1673806010.094,-18.555,-34.180,-31.250,-13.672,0.000
1673806010.098,-24.902,-37.109,-33.203,-14.648,0.000
1673806010.102,-31.250,-38.574,-38.086,-20.020,0.000
1673806010.106,-30.762,-33.691,-38.574,-27.832,0.000
1673806010.110,-21.973,-31.250,-34.180,-21.484,0.000
1673806010.114,-24.902,-33.691,-34.180,-15.137,0.000
1673806010.118,-20.508,-22.949,-31.738,-17.578,0.000
1673806010.122,-7.324,-20.996,-32.227,-24.902,0.000
1673806010.126,5.371,-20.508,-35.645,-26.855,0.000
1673806010.130,14.160,-23.926,-35.156,-32.227,0.000
1673806010.133,-5.859,-35.645,-41.016,-33.691,0.000
1673806010.137,-26.367,-38.086,-48.340,-34.180,0.000
1673806010.141,-28.320,-35.156,-40.039,-30.762,0.000
1673806010.145,-28.320,-28.320,-37.598,-26.367,0.000
1673806010.149,-28.809,-26.367,-45.410,-27.832,0.000
1673806010.153,-20.996,-23.926,-42.969,-26.855,0.000
1673806010.157,-16.602,-21.484,-40.039,-32.227,0.000
1673806010.161,-21.973,-27.832,-41.992,-29.785,0.000
1673806010.165,-28.320,-33.691,-38.574,-27.832,0.000
1673806010.169,-30.273,-31.738,-39.062,-28.320,0.000
1673806010.173,-21.973,-28.320,-41.992,-28.809,0.000
1673806010.176,-12.695,-29.297,-37.109,-16.113,0.000
1673806010.180,-17.578,-32.715,-37.109,-6.348,0.000
1673806010.184,-23.926,-27.832,-32.715,-5.859,0.000
1673806010.188,-21.973,-19.043,-30.273,-11.230,0.000
1673806010.192,-30.273,-28.809,-36.621,-21.973,0.000
1673806010.196,-33.691,-38.086,-40.527,-27.344,0.000
1673806010.200,-35.156,-37.598,-39.551,-25.391,0.000
1673806010.204,-37.598,-32.227,-34.180,-30.762,0.000
1673806010.208,-32.715,-22.949,-33.203,-32.715,0.000
1673806010.212,-30.762,-19.043,-36.133,-33.203,0.000
1673806010.216,-33.203,-22.461,-35.645,-33.691,0.000
