timestamp,TP9,AF7,AF8,TP10,Right AUX
1673805940.575,-49.316,-31.250,-34.180,-19.043,0.000
1673805940.579,-39.062,-32.227,-33.203,-18.066,0.000
1673805940.583,-19.043,-26.367,-27.832,-18.555,0.000
1673805940.587,-28.809,-24.902,-26.855,-14.160,0.000
1673805940.591,-38.086,-29.297,-28.320,-5.859,0.000
1673805940.595,-51.270,-33.203,-30.273,-2.441,0.000
1673805940.599,-63.965,-33.203,-20.996,2.441,0.000
1673805940.603,-57.129,-41.504,-17.090,-3.906,0.000
1673805940.607,-53.711,-49.805,-20.508,-7.324,0.000
1673805940.611,-46.875,-47.363,-19.531,1.465,0.000
1673805940.614,-38.574,-36.133,-21.973,-0.488,0.000
1673805940.618,-28.809,-25.391,-26.367,-13.672,0.000
1673805940.622,-18.555,-29.785,-24.414,-8.301,0.000
1673805940.626,-7.324,-31.738,-16.113,0.488,0.000
1673805940.630,-4.883,-23.438,-15.137,0.000,0.000
1673805940.634,4.395,-20.508,-30.762,-2.441,0.000
1673805940.638,9.277,-20.508,-41.504,-13.672,0.000
1673805940.642,-2.930,-20.020,-24.902,-9.766,0.000
1673805940.646,-2.441,-20.996,-26.367,-9.766,0.000
1673805940.650,-20.996,-24.902,-39.062,-14.648,0.000
1673805940.654,-28.809,-24.414,-29.785,-5.371,0.000
1673805940.657,-14.648,-24.902,-23.438,-1.465,0.000
1673805940.661,-15.625,-23.926,-25.391,0.000,0.000
1673805940.665,-14.648,-28.809,-24.902,-6.836,0.000
1673805940.669,-6.348,-33.691,-25.391,-5.859,0.000
1673805940.673,-13.184,-29.785,-27.344,4.395,0.000
1673805940.677,-30.762,-22.949,-26.367,3.418,0.000
1673805940.681,-30.762,-17.090,-24.414,-6.348,0.000
1673805940.685,-26.367,-30.273,-30.273,-12.695,0.000
1673805940.689,-29.297,-39.551,-38.574,-6.836,0.000
1673805940.693,-33.691,-37.598,-38.086,-8.789,0.000
1673805940.697,-43.945,-35.645,-39.062,-12.207,0.000
1673805940.700,-43.457,-31.738,-40.039,-11.719,0.000
1673805940.704,-42.969,-31.250,-38.086,-7.812,0.000
1673805940.708,-48.340,-30.762,-36.621,-9.766,0.000
1673805940.712,-51.270,-28.320,-35.156,-25.879,0.000
1673805940.716,-56.152,-28.320,-29.297,-33.203,0.000
1673805940.720,-52.246,-24.902,-31.250,-20.508,0.000
1673805940.724,-41.504,-19.043,-40.527,-17.578,0.000
1673805940.728,-29.785,-22.461,-38.086,-33.203,0.000
1673805940.732,-24.902,-23.926,-31.250,-40.039,0.000
1673805940.736,-32.227,-29.297,-36.621,-39.062,0.000
1673805940.740,-40.527,-28.809,-41.016,-37.109,0.000
1673805940.743,-46.387,-24.414,-40.039,-34.180,0.000
1673805940.747,-41.016,-29.297,-37.598,-31.738,0.000
1673805940.751,-36.133,-31.738,-37.598,-34.180,0.000
1673805940.755,-38.086,-30.762,-40.039,-41.016,0.000
1673805940.759,-35.645,-35.645,-44.434,-37.598,0.000
1673805940.763,-28.809,-37.598,-43.457,-41.504,0.000
1673805940.767,-38.086,-32.715,-42.969,-39.062,0.000
1673805940.771,-41.504,-24.414,-43.457,-27.344,0.000
1673805940.775,-31.738,-23.926,-41.504,-20.508,0.000
1673805940.779,-38.086,-32.227,-41.992,-18.066,0.000
1673805940.782,-46.387,-30.762,-41.992,-20.020,0.000
1673805940.786,-41.016,-27.344,-38.086,-23.438,0.000
1673805940.790,-37.598,-30.273,-38.086,-16.602,0.000
1673805940.794,-32.227,-22.461,-38.086,-10.254,0.000
1673805940.798,-37.109,-25.391,-35.645,-21.484,0.000
1673805940.802,-41.504,-33.691,-38.574,-32.227,0.000
1673805940.806,-39.062,-33.203,-39.062,-12.695,0.000
1673805940.810,-47.852,-25.879,-35.156,4.395,0.000
1673805940.814,-50.293,-23.438,-33.203,-15.137,0.000
1673805940.818,-42.969,-28.809,-35.156,-25.879,0.000
1673805940.822,-36.621,-31.250,-32.227,-13.672,0.000
1673805940.825,-29.297,-31.250,-32.715,-8.789,0.000
1673805940.829,-32.227,-31.738,-35.156,-17.578,0.000
1673805940.833,-44.922,-38.086,-39.062,-26.855,0.000
1673805940.837,-41.992,-34.180,-39.062,-10.742,0.000
1673805940.841,-33.203,-25.879,-32.715,-1.953,0.000
1673805940.845,-39.062,-33.203,-31.738,-23.926,0.000
1673805940.849,-37.109,-45.410,-26.855,-34.668,0.000
1673805940.853,-25.879,-39.551,-23.438,-27.344,0.000
1673805940.857,-22.461,-26.855,-25.879,-22.461,0.000
1673805940.861,-42.969,-31.738,-30.762,-21.484,0.000
1673805940.865,-54.688,-35.645,-29.297,-17.578,0.000
1673805940.868,-54.688,-29.297,-30.762,-19.043,0.000
1673805940.872,-52.734,-32.227,-42.480,-20.020,0.000
1673805940.876,-47.852,-37.598,-39.062,-20.508,0.000
1673805940.880,-47.363,-29.297,-26.855,-30.273,0.000
1673805940.884,-40.527,-29.297,-27.832,-26.367,0.000
1673805940.888,-39.551,-33.203,-35.156,-17.578,0.000
1673805940.892,-44.434,-33.691,-36.621,-18.066,0.000
1673805940.896,-56.641,-32.227,-39.062,-28.809,0.000
1673805940.900,-62.500,-26.855,-38.086,-43.457,0.000
1673805940.904,-52.734,-26.855,-40.039,-35.156,0.000
1673805940.907,-50.781,-37.598,-46.387,-32.715,0.000
1673805940.911,-49.805,-38.574,-42.480,-32.715,0.000
1673805940.915,-43.945,-32.227,-36.621,-26.367,0.000
1673805940.919,-35.645,-30.273,-38.574,-25.391,0.000
1673805940.923,-29.785,-29.785,-35.156,-14.648,0.000
1673805940.927,-26.367,-34.180,-32.715,-9.766,0.000
1673805940.931,-31.738,-38.574,-37.109,-14.648,0.000
1673805940.935,-46.387,-38.574,-37.598,-21.973,0.000
