timestamp,TP9,AF7,AF8,TP10,Right AUX
0.000,-43.457,-25.879,-1.953,-63.477,0.000
4.000,-49.316,-11.230,-2.441,-72.754,0.000
8.000,-36.621,-2.441,-1.953,-67.383,0.000
12.000,-26.855,-10.254,-4.395,-52.734,0.000
16.000,-43.945,-33.203,-21.973,-64.941,0.000
20.000,-55.176,-10.742,-21.973,-77.637,0.000
23.000,-53.711,3.418,-4.395,-71.777,0.000
27.000,-40.527,0.977,3.418,-49.316,0.000
31.000,-40.527,-11.230,-9.766,-51.270,0.000
35.000,-55.176,-27.832,-26.367,-70.312,0.000
39.000,-44.434,-30.762,-24.414,-56.152,0.000
43.000,-37.598,-13.672,-21.973,-47.363,0.000
47.000,-46.387,3.906,-18.555,-43.945,0.000
51.000,-53.711,-1.465,-11.719,-44.922,0.000
55.000,-43.457,1.953,-10.742,-49.805,0.000
59.000,-30.762,-10.742,-12.695,-41.992,0.000
62.000,-40.527,-12.207,-12.207,-39.551,0.000
66.000,-41.016,2.930,-14.648,-33.691,0.000
70.000,-35.645,-4.883,-13.184,-30.762,0.000
74.000,-37.109,-16.113,-11.719,-35.645,0.000
78.000,-27.344,-31.250,-16.113,-33.203,0.000
82.000,-8.789,-20.508,-8.789,-22.461,0.000
86.000,-13.184,4.883,-12.695,-21.973,0.000
90.000,-33.691,-3.906,-17.578,-26.367,0.000
94.000,-27.832,5.859,-1.465,-24.902,0.000
98.000,-34.668,6.348,-7.324,-37.598,0.000
102.000,-45.410,-17.090,-15.137,-45.410,0.000
105.000,-33.203,-20.020,-16.602,-36.133,0.000
109.000,-17.578,-2.441,-21.484,-24.414,0.000
113.000,-17.090,-1.953,-24.902,-24.902,0.000
117.000,-21.484,-9.766,-22.461,-33.203,0.000
121.000,-30.273,-9.277,-20.020,-46.387,0.000
125.000,-36.133,-16.602,-20.996,-35.645,0.000
129.000,-36.621,-13.672,-18.066,-29.297,0.000
133.000,-29.297,-15.137,-18.066,-41.504,0.000
137.000,-28.320,-26.367,-23.438,-37.109,0.000
141.000,-29.785,-14.160,-23.438,-33.203,0.000
145.000,-31.738,-27.344,-29.785,-31.738,0.000
