timestamp,TP9,AF7,AF8,TP10,Right AUX
1673805070.289,-32.227,-35.645,-31.738,-20.020,0.000
1673805070.293,-27.832,-31.738,-29.297,-22.461,0.000
1673805070.297,-21.484,-33.203,-23.438,-21.973,0.000
1673805070.301,-20.020,-30.762,-27.344,-17.090,0.000
1673805070.305,-20.020,-27.832,-34.180,-17.090,0.000
1673805070.309,-20.996,-28.809,-36.621,-22.461,0.000
1673805070.313,-25.391,-27.832,-38.086,-22.949,0.000
1673805070.317,-22.461,-20.020,-35.645,-16.113,0.000
1673805070.320,-15.625,-14.648,-33.691,-12.207,0.000
1673805070.324,-1.953,-21.484,-31.250,-7.812,0.000
1673805070.328,0.488,-26.367,-26.855,-10.742,0.000
1673805070.332,-13.672,-26.367,-26.367,-15.137,0.000
1673805070.336,-14.160,-29.785,-30.273,-11.719,0.000
1673805070.340,-17.090,-28.320,-33.203,-9.277,0.000
1673805070.344,-8.789,-28.320,-30.762,-10.254,0.000
1673805070.348,0.977,-26.855,-28.320,-7.812,0.000
1673805070.352,-18.555,-25.391,-32.227,-6.836,0.000
1673805070.356,-33.691,-28.320,-30.273,-6.348,0.000
1673805070.360,-39.551,-23.926,-28.320,-4.395,0.000
1673805070.363,-37.598,-17.090,-28.320,-3.906,0.000
1673805070.367,-20.508,-18.555,-22.949,-5.859,0.000
1673805070.371,-8.789,-24.902,-26.367,-5.371,0.000
1673805070.375,-8.301,-25.879,-33.203,-2.930,0.000
1673805070.379,-7.812,-24.902,-25.391,-5.859,0.000
1673805070.383,-0.488,-22.949,-18.555,-10.254,0.000
1673805070.387,-7.812,-25.391,-21.484,0.977,0.000
1673805070.391,-12.695,-30.762,-27.832,-4.395,0.000
1673805070.395,1.953,-27.344,-28.320,-13.672,0.000
1673805070.399,-19.531,-32.227,-29.785,-9.766,0.000
1673805070.403,-37.109,-41.016,-32.715,-13.184,0.000
1673805070.406,-17.578,-33.691,-33.203,-8.301,0.000
1673805070.410,-9.277,-27.832,-31.738,-6.836,0.000
1673805070.414,-13.184,-27.832,-34.668,-15.625,0.000
1673805070.418,-8.789,-22.949,-38.574,-13.184,0.000
1673805070.422,-13.672,-20.996,-33.691,-5.371,0.000
1673805070.426,-12.207,-16.602,-24.414,-1.465,0.000
1673805070.430,3.906,-12.207,-22.461,3.418,0.000
1673805070.434,-0.977,-14.160,-24.902,-2.441,0.000
1673805070.438,-0.488,-17.090,-27.344,-9.766,0.000
1673805070.442,0.000,-24.902,-27.344,-4.883,0.000
1673805070.445,-15.625,-34.668,-23.926,4.883,0.000
1673805070.449,-23.438,-37.598,-21.484,-2.441,0.000
1673805070.453,-26.367,-25.391,-27.832,-14.160,0.000
1673805070.457,-19.043,-15.625,-29.297,-5.371,0.000
1673805070.461,-18.066,-16.602,-22.461,2.930,0.000
1673805070.465,-8.789,-13.184,-20.020,-1.465,0.000
1673805070.469,-3.418,-14.648,-18.555,-10.742,0.000
1673805070.473,-2.930,-14.160,-17.578,4.395,0.000
1673805070.477,-4.883,-15.625,-15.137,12.207,0.000
1673805070.481,0.488,-21.973,-13.672,-0.488,0.000
1673805070.485,4.883,-22.461,-13.184,-8.789,0.000
1673805070.488,-3.418,-18.066,-13.184,-13.672,0.000
1673805070.492,-8.789,-15.625,-15.137,-11.719,0.000
1673805070.496,-10.254,-22.949,-16.602,-20.020,0.000
1673805070.500,4.395,-26.367,-13.672,-22.949,0.000
1673805070.504,20.020,-20.020,-11.719,-17.090,0.000
1673805070.508,8.301,-24.414,-16.113,-14.648,0.000
1673805070.512,-25.879,-20.020,-17.578,-16.113,0.000
1673805070.516,-33.203,-10.742,-20.020,-18.066,0.000
1673805070.520,-29.297,-15.625,-24.414,-21.484,0.000
1673805070.524,-26.367,-17.578,-20.508,-14.160,0.000
1673805070.528,-19.043,-12.695,-9.277,-8.301,0.000
1673805070.531,-19.043,-14.648,-8.789,-12.695,0.000
1673805070.535,-9.277,-11.719,-13.672,-12.207,0.000
1673805070.539,-9.766,-9.766,-7.324,-6.836,0.000
1673805070.543,-15.137,-19.531,-3.906,-2.441,0.000
1673805070.547,-15.137,-21.973,-7.324,-4.883,0.000
1673805070.551,-17.578,-19.531,-6.348,-4.883,0.000
1673805070.555,-18.066,-20.508,-12.695,2.441,0.000
1673805070.559,-21.484,-22.949,-16.602,8.789,0.000
1673805070.563,-16.602,-15.137,-16.113,9.766,0.000
1673805070.567,-7.812,-4.883,-11.719,24.414,0.000
1673805070.570,-13.184,-3.906,-6.348,19.531,0.000
1673805070.574,-15.625,-12.207,-8.301,1.465,0.000
1673805070.578,-14.160,-18.555,-14.648,-4.883,0.000
1673805070.582,-10.742,-15.137,-16.113,-5.859,0.000
1673805070.586,-1.953,-15.137,-14.648,-7.812,0.000
1673805070.590,6.836,-15.137,-15.625,5.371,0.000
1673805070.594,5.371,-16.602,-20.508,11.230,0.000
1673805070.598,-3.906,-12.695,-24.414,-9.277,0.000
1673805070.602,-2.930,-8.789,-22.461,-19.043,0.000
1673805070.606,-6.348,-6.836,-23.438,-11.719,0.000
1673805070.610,-12.695,-3.418,-22.461,-6.348,0.000
1673805070.613,-24.414,-6.348,-14.160,-6.348,0.000
1673805070.617,-27.344,-9.277,-15.625,-12.207,0.000
1673805070.621,-14.160,-10.742,-19.043,-18.066,0.000
1673805070.625,-18.555,-10.742,-15.625,-21.484,0.000
1673805070.629,-23.926,-10.742,-23.438,-22.949,0.000
1673805070.633,-31.738,-18.066,-32.227,-34.180,0.000
1673805070.637,-24.414,-14.648,-27.832,-35.645,0.000
1673805070.641,-24.902,-9.277,-26.367,-22.949,0.000
1673805070.645,-33.691,-18.555,-30.762,-18.066,0.000
1673805070.649,-23.438,-17.578,-23.438,-18.555,0.000
1673805070.653,-11.719,-16.602,-19.043,-9.277,0.000
1673805070.656,-20.020,-19.043,-18.555,4.395,0.000
1673805070.660,-19.043,-25.879,-20.020,5.371,0.000
1673805070.664,-20.508,-23.438,-19.043,5.371,0.000
1673805070.668,-22.949,-9.766,-17.090,0.488,0.000
1673805070.672,-4.395,-6.836,-21.973,-6.836,0.000
1673805070.676,-11.719,-7.812,-23.926,-12.695,0.000
1673805070.680,-16.113,-13.184,-22.949,-16.113,0.000
1673805070.684,-0.977,-7.324,-23.438,-15.625,0.000
1673805070.688,0.488,-12.695,-23.926,-20.508,0.000
1673805070.692,7.812,-17.578,-24.414,-13.184,0.000
1673805070.695,4.395,-16.113,-21.484,-6.348,0.000
1673805070.699,-11.230,-21.973,-17.578,-3.418,0.000
1673805070.703,-16.113,-22.949,-17.578,-7.324,0.000
1673805070.707,-29.297,-22.949,-23.926,-10.254,0.000
1673805070.711,-36.621,-20.020,-24.902,-7.324,0.000
1673805070.715,-21.973,-17.578,-20.996,-9.277,0.000
1673805070.719,-19.043,-17.578,-16.602,-6.348,0.000
1673805070.723,-30.762,-18.555,-20.508,-3.418,0.000
1673805070.727,-30.273,-23.438,-22.949,-2.930,0.000
1673805070.731,-21.484,-31.738,-22.949,-5.859,0.000
1673805070.735,-7.324,-33.203,-27.832,-7.324,0.000
1673805070.738,0.000,-23.926,-26.367,-7.812,0.000
1673805070.742,-1.465,-18.555,-24.414,-5.859,0.000
1673805070.746,-1.953,-18.555,-24.902,-5.371,0.000
1673805070.750,-11.230,-20.508,-24.414,-16.602,0.000
1673805070.754,-19.043,-19.043,-13.672,-11.719,0.000
1673805070.758,-13.184,-15.625,-5.859,4.395,0.000
1673805070.762,-10.742,-25.879,-10.742,-2.441,0.000
1673805070.766,-20.508,-25.879,-12.695,-4.395,0.000
1673805070.770,-15.625,-15.137,-9.766,0.977,0.000
1673805070.774,-12.207,-17.578,-7.324,-5.859,0.000
1673805070.778,-30.273,-22.949,-12.695,-12.207,0.000
1673805070.781,-29.785,-23.438,-20.020,-23.926,0.000
1673805070.785,-15.137,-22.461,-20.996,-25.391,0.000
1673805070.789,-9.766,-28.320,-20.020,-5.859,0.000
1673805070.793,-30.273,-32.715,-21.973,1.953,0.000
1673805070.797,-37.109,-25.391,-20.996,-10.742,0.000
1673805070.801,-26.855,-22.461,-20.508,-16.602,0.000
1673805070.805,-26.367,-27.832,-24.902,-15.625,0.000
1673805070.809,-32.715,-32.715,-18.555,-20.020,0.000
1673805070.813,-29.297,-31.738,-17.090,-11.230,0.000
1673805070.817,-21.973,-20.996,-18.066,0.977,0.000
1673805070.820,-22.949,-17.578,-15.625,1.953,0.000
1673805070.824,-20.508,-20.996,-16.602,5.859,0.000
1673805070.828,-6.836,-16.602,-14.160,6.348,0.000
1673805070.832,8.301,-13.672,-12.207,0.977,0.000
1673805070.836,12.207,-15.625,-17.578,-3.418,0.000
1673805070.840,10.254,-19.043,-24.902,-16.113,0.000
1673805070.844,10.742,-23.926,-25.879,-17.090,0.000
1673805070.848,3.906,-25.879,-24.414,-5.371,0.000
1673805070.852,0.000,-19.531,-21.484,-1.953,0.000
1673805070.856,-0.488,-18.555,-23.438,-12.207,0.000
1673805070.860,1.953,-20.508,-25.391,-13.672,0.000
1673805070.863,1.953,-21.973,-21.973,-9.766,0.000
1673805070.867,-4.395,-23.926,-23.926,-16.602,0.000
1673805070.871,-11.719,-22.949,-20.020,-22.461,0.000
1673805070.875,-23.438,-20.996,-14.160,-14.160,0.000
1673805070.879,-26.367,-20.020,-10.742,0.488,0.000
1673805070.883,-20.508,-22.461,-11.230,-5.371,0.000
1673805070.887,-15.625,-22.461,-12.695,-18.066,0.000
1673805070.891,-12.207,-24.414,-17.578,-10.254,0.000
1673805070.895,-21.973,-30.762,-22.461,-2.930,0.000
1673805070.899,-35.645,-32.715,-22.949,-3.906,0.000
1673805070.903,-27.832,-29.785,-25.391,-5.859,0.000
1673805070.906,-24.414,-19.043,-30.273,-6.836,0.000
1673805070.910,-19.531,-10.742,-26.367,-0.488,0.000
1673805070.914,-22.949,-12.695,-21.973,3.418,0.000
1673805070.918,-18.066,-12.695,-22.461,-3.906,0.000
1673805070.922,2.441,-8.789,-20.508,-0.977,0.000
1673805070.926,10.742,-9.766,-14.160,20.996,0.000
1673805070.930,-1.465,-11.230,-19.043,15.137,0.000
1673805070.934,-20.508,-10.742,-20.020,1.953,0.000
1673805070.938,-21.484,-15.137,-19.531,7.812,0.000
1673805070.942,-18.066,-23.926,-26.367,7.324,0.000
1673805070.945,-19.531,-21.484,-26.367,1.465,0.000
1673805070.949,-20.020,-13.184,-18.555,-9.277,0.000
1673805070.953,-15.137,-14.160,-16.602,-13.184,0.000
1673805070.957,-17.578,-23.438,-22.461,-12.695,0.000
1673805070.961,-16.113,-31.250,-23.926,-18.555,0.000
1673805070.965,-2.441,-23.438,-22.461,-26.367,0.000
1673805070.969,-16.113,-20.508,-17.090,-30.762,0.000
1673805070.973,-26.367,-23.438,-16.113,-25.391,0.000
1673805070.977,-13.184,-20.020,-22.949,-19.043,0.000
1673805070.981,2.930,-14.160,-21.973,-11.719,0.000
1673805070.985,-16.602,-14.648,-28.320,-16.113,0.000
1673805070.988,-18.555,-13.672,-36.133,-13.672,0.000
1673805070.992,-15.625,-15.625,-28.320,-4.395,0.000
1673805070.996,-33.203,-20.020,-20.996,-9.766,0.000
1673805071.000,-28.809,-22.949,-20.996,-9.766,0.000
1673805071.004,-23.438,-33.691,-21.484,-2.930,0.000
1673805071.008,-29.785,-35.156,-28.320,-6.836,0.000
1673805071.012,-23.438,-25.879,-34.180,-6.836,0.000
1673805071.016,-10.742,-20.508,-28.809,-3.418,0.000
1673805071.020,-13.672,-26.367,-29.297,-15.625,0.000
1673805071.024,-9.766,-30.762,-34.668,-18.555,0.000
1673805071.028,-15.625,-23.438,-31.738,-8.789,0.000
1673805071.031,-24.902,-25.391,-29.785,-2.930,0.000
1673805071.035,-16.113,-20.508,-31.738,-7.812,0.000
1673805071.039,-11.230,-9.277,-28.320,-6.836,0.000
1673805071.043,-4.395,-12.695,-18.555,-6.836,0.000
1673805071.047,-0.977,-16.113,-17.578,-18.066,0.000
1673805071.051,-8.301,-13.672,-21.973,-27.344,0.000
1673805071.055,-6.348,-9.766,-21.484,-17.090,0.000
1673805071.059,4.883,-8.789,-24.902,-11.719,0.000
1673805071.063,5.371,-13.672,-27.832,-13.184,0.000
1673805071.067,-16.113,-21.484,-29.297,-12.695,0.000
1673805071.070,-30.273,-27.832,-26.367,-14.160,0.000
1673805071.074,-19.043,-25.391,-22.461,-1.465,0.000
1673805071.078,-15.137,-24.414,-23.926,-9.277,0.000
1673805071.082,-12.695,-28.320,-28.809,-21.484,0.000
1673805071.086,-8.789,-22.949,-31.250,-10.254,0.000
1673805071.090,-2.930,-18.555,-29.785,-2.930,0.000
1673805071.094,-4.883,-22.949,-31.738,-0.977,0.000
1673805071.098,-21.973,-29.297,-27.344,-3.906,0.000
1673805071.102,-28.320,-25.391,-24.414,-5.371,0.000
1673805071.106,-22.949,-20.996,-27.344,-9.277,0.000
1673805071.110,-23.926,-28.320,-24.414,-19.043,0.000
1673805071.113,-41.504,-27.344,-22.461,-18.066,0.000
1673805071.117,-31.738,-16.113,-25.879,-19.531,0.000
1673805071.121,-17.090,-17.578,-24.414,-12.207,0.000
1673805071.125,-29.297,-27.832,-24.414,-17.090,0.000
1673805071.129,-38.574,-27.832,-27.344,-27.344,0.000
1673805071.133,-25.391,-30.273,-23.926,-22.949,0.000
1673805071.137,-10.742,-30.762,-20.508,-25.391,0.000
1673805071.141,-23.438,-29.785,-23.926,-25.879,0.000
1673805071.145,-31.738,-27.344,-29.297,-25.391,0.000
1673805071.149,-19.531,-22.949,-29.785,-31.738,0.000
1673805071.153,-23.926,-22.461,-25.879,-22.461,0.000
1673805071.156,-25.391,-23.926,-20.996,-18.555,0.000
1673805071.160,-14.160,-24.414,-24.414,-17.090,0.000
1673805071.164,2.930,-14.648,-20.996,-8.301,0.000
1673805071.168,0.000,-18.555,-20.508,-21.484,0.000
1673805071.172,-20.996,-28.320,-24.902,-23.438,0.000
1673805071.176,-9.277,-19.043,-20.996,-8.301,0.000
1673805071.180,5.371,-11.719,-17.578,-13.184,0.000
1673805071.184,2.930,-18.555,-20.508,-19.531,0.000
1673805071.188,-5.859,-21.484,-19.531,-3.418,0.000
1673805071.192,-10.254,-15.625,-15.625,-0.488,0.000
1673805071.195,-20.020,-28.320,-22.461,-8.301,0.000
1673805071.199,-34.668,-37.598,-24.902,-14.648,0.000
1673805071.203,-27.832,-28.809,-21.973,-15.137,0.000
1673805071.207,-16.602,-23.926,-22.949,-15.625,0.000
1673805071.211,-29.785,-26.855,-17.578,-13.672,0.000
1673805071.215,-43.945,-25.879,-18.066,-10.742,0.000
1673805071.219,-33.203,-20.020,-22.461,-20.996,0.000
1673805071.223,-13.184,-18.066,-25.391,-20.020,0.000
1673805071.227,-4.395,-23.926,-24.902,-7.324,0.000
1673805071.231,-19.531,-28.809,-25.879,-5.371,0.000
1673805071.235,-25.879,-23.438,-25.391,-5.371,0.000
1673805071.238,-18.066,-21.484,-20.996,1.953,0.000
1673805071.242,-1.953,-28.320,-18.066,-4.395,0.000
1673805071.246,-6.836,-23.438,-21.484,-4.883,0.000
1673805071.250,-19.043,-13.672,-26.855,-11.230,0.000
1673805071.254,-13.672,-19.531,-24.902,-8.789,0.000
1673805071.258,-12.207,-30.762,-18.066,0.000,0.000
1673805071.262,-24.414,-29.297,-18.555,-11.719,0.000
1673805071.266,-25.879,-29.297,-27.344,-14.160,0.000
1673805071.270,-7.812,-29.297,-22.949,1.953,0.000
1673805071.274,-2.441,-23.926,-12.207,15.137,0.000
1673805071.278,-9.766,-19.043,-11.230,14.648,0.000
1673805071.281,-4.395,-26.855,-16.113,7.812,0.000
1673805071.285,-1.465,-26.367,-20.020,-3.418,0.000
1673805071.289,2.441,-20.996,-20.996,-2.930,0.000
1673805071.293,4.395,-25.391,-16.113,9.277,0.000
