timestamp,TP9,AF7,AF8,TP10,Right AUX
0.000,-49.805,-27.344,-26.367,-32.715,0.000
4.000,-51.270,-29.785,-29.297,-41.992,0.000
8.000,-41.016,-27.832,-26.855,-40.527,0.000
12.000,-30.762,-28.320,-26.367,-28.809,0.000
16.000,-28.809,-26.855,-27.344,-26.855,0.000
20.000,-36.133,-21.973,-24.902,-27.832,0.000
23.000,-36.621,-22.461,-18.555,-22.461,0.000
27.000,-32.227,-21.484,-21.484,-16.602,0.000
31.000,-29.297,-18.555,-23.926,-20.996,0.000
35.000,-29.785,-24.414,-26.855,-30.762,0.000
39.000,-25.391,-29.297,-33.203,-38.574,0.000
43.000,-24.902,-26.855,-34.180,-37.598,0.000
47.000,-22.949,-24.414,-31.250,-33.691,0.000
51.000,-19.043,-25.391,-29.297,-34.180,0.000
55.000,-11.230,-24.902,-34.180,-33.203,0.000
59.000,6.836,-20.996,-30.762,-28.320,0.000
62.000,16.602,-22.461,-23.438,-17.090,0.000
66.000,-10.742,-27.344,-23.926,-12.207,0.000
70.000,-52.246,-27.832,-23.438,-12.207,0.000
74.000,-62.988,-22.461,-24.902,-12.695,0.000
78.000,-42.480,-21.973,-25.879,-19.043,0.000
82.000,-34.180,-28.320,-27.832,-13.184,0.000
86.000,-28.320,-26.367,-29.297,-13.184,0.000
90.000,-23.926,-17.090,-26.855,-16.602,0.000
94.000,-21.973,-15.137,-23.438,-11.719,0.000
98.000,-13.184,-18.066,-22.461,-21.973,0.000
102.000,-21.484,-21.973,-19.531,-18.066,0.000
105.000,-34.180,-20.508,-20.020,-4.883,0.000
109.000,-35.156,-16.602,-23.926,-11.719,0.000
113.000,-54.199,-20.996,-24.902,-32.715,0.000
117.000,-46.875,-26.855,-24.902,-32.715,0.000
121.000,-15.137,-18.066,-22.949,-20.996,0.000
125.000,-13.672,-18.555,-23.926,-33.203,0.000
129.000,-27.832,-27.344,-23.438,-36.133,0.000
133.000,-48.828,-27.344,-23.438,-27.344,0.000
137.000,-55.664,-29.297,-23.926,-31.738,0.000
141.000,-37.109,-33.203,-25.391,-28.809,0.000
145.000,-19.043,-34.180,-31.738,-33.203,0.000
148.000,-30.273,-29.785,-29.297,-32.715,0.000
152.000,-31.250,-27.344,-27.832,-31.250,0.000
156.000,-39.551,-26.855,-32.715,-41.504,0.000
160.000,-41.992,-25.879,-31.250,-35.645,0.000
164.000,-30.273,-24.414,-26.855,-31.250,0.000
168.000,-45.410,-24.902,-29.785,-34.668,0.000
172.000,-44.434,-27.832,-31.250,-30.762,0.000
176.000,-32.715,-26.855,-29.785,-26.367,0.000
180.000,-25.391,-25.391,-30.762,-32.227,0.000
184.000,-24.902,-26.855,-26.855,-37.598,0.000
187.000,-35.645,-27.832,-21.973,-33.203,0.000
191.000,-34.180,-27.344,-20.508,-32.227,0.000
195.000,-32.715,-29.297,-22.949,-29.785,0.000
199.000,-31.250,-29.297,-19.531,-24.414,0.000
203.000,-36.133,-30.762,-16.113,-27.344,0.000
207.000,-36.133,-34.180,-16.602,-35.156,0.000
211.000,-34.668,-33.203,-19.043,-32.227,0.000
215.000,-39.062,-36.621,-22.461,-30.273,0.000
219.000,-31.738,-41.504,-24.414,-31.250,0.000
223.000,-28.809,-29.297,-23.926,-20.508,0.000
227.000,-33.691,-31.738,-31.250,-26.367,0.000
230.000,-43.945,-38.086,-34.668,-30.273,0.000
234.000,-48.828,-32.715,-27.344,-27.344,0.000
238.000,-46.387,-26.855,-24.902,-33.203,0.000
242.000,-41.016,-21.973,-23.926,-30.273,0.000
246.000,-25.879,-25.879,-20.508,-31.738,0.000
250.000,-32.715,-35.645,-20.020,-29.297,0.000
254.000,-37.109,-36.133,-23.438,-29.785,0.000
258.000,-38.086,-31.250,-21.973,-33.203,0.000
262.000,-41.504,-30.762,-20.508,-29.297,0.000
266.000,-32.227,-32.227,-23.438,-27.344,0.000
270.000,-49.316,-34.180,-26.855,-34.180,0.000
273.000,-55.664,-31.250,-23.926,-34.668,0.000
277.000,-42.480,-28.809,-15.137,-27.344,0.000
281.000,-42.480,-25.879,-17.090,-22.949,0.000
285.000,-27.832,-27.344,-24.902,-18.066,0.000
289.000,-3.906,-24.414,-22.949,0.977,0.000
293.000,-25.879,-24.414,-21.973,-10.742,0.000
297.000,-48.828,-34.180,-27.344,-39.062,0.000
301.000,-49.316,-38.574,-29.297,-28.320,0.000
305.000,-33.691,-33.203,-25.879,-13.184,0.000
309.000,-13.672,-29.297,-23.438,-8.301,0.000
312.000,-11.719,-32.715,-29.297,-7.324,0.000
316.000,-13.184,-29.297,-33.203,-10.254,0.000
320.000,-16.602,-26.855,-29.785,-11.719,0.000
324.000,-3.418,-28.320,-29.785,-10.254,0.000
328.000,15.137,-24.414,-28.320,-1.953,0.000
332.000,9.766,-21.484,-26.367,3.418,0.000
336.000,1.953,-18.555,-23.438,6.348,0.000
340.000,3.418,-16.113,-20.020,6.348,0.000
344.000,16.602,-14.160,-20.996,14.648,0.000
348.000,22.949,-15.625,-19.531,13.184,0.000
352.000,23.438,-15.137,-17.090,3.906,0.000
355.000,22.461,-17.578,-20.996,3.418,0.000
359.000,14.160,-24.414,-24.902,-8.789,0.000
363.000,4.395,-23.926,-22.949,-11.230,0.000
367.000,-12.207,-25.391,-18.066,-1.465,0.000
371.000,-24.414,-23.438,-14.648,-3.906,0.000
375.000,-16.113,-22.461,-15.137,1.465,0.000
379.000,-9.277,-25.879,-19.043,4.395,0.000
383.000,-5.371,-18.066,-19.531,2.930,0.000
387.000,-1.953,-15.137,-20.508,-6.836,0.000
391.000,1.465,-20.508,-26.367,-8.301,0.000
394.000,0.977,-16.113,-30.273,3.418,0.000
398.000,-22.949,-18.066,-26.367,1.465,0.000
402.000,-38.574,-17.578,-21.973,1.465,0.000
406.000,-35.645,-18.066,-23.438,-9.277,0.000
410.000,-22.949,-19.531,-19.531,-11.719,0.000
414.000,-6.836,-17.578,-17.090,-4.395,0.000
418.000,-10.742,-26.367,-20.996,-7.324,0.000
422.000,-27.344,-32.227,-24.902,-14.160,0.000
426.000,-24.414,-25.391,-28.320,-18.066,0.000
430.000,-15.137,-19.043,-27.832,-18.555,0.000
434.000,-36.133,-19.043,-24.414,-23.926,0.000
437.000,-50.293,-18.555,-19.531,-22.461,0.000
441.000,-38.574,-20.508,-24.414,-35.156,0.000
445.000,-26.855,-21.973,-30.762,-40.039,0.000
449.000,-33.203,-22.461,-29.297,-30.762,0.000
453.000,-61.523,-24.902,-24.414,-26.855,0.000
457.000,-61.523,-23.926,-20.996,-26.855,0.000
461.000,-40.039,-22.461,-21.973,-23.926,0.000
465.000,-29.785,-18.066,-25.391,-27.832,0.000
469.000,-26.855,-20.508,-25.879,-40.039,0.000
473.000,-22.949,-24.902,-25.391,-43.945,0.000
477.000,-18.555,-25.391,-27.832,-39.062,0.000
480.000,-15.137,-26.855,-28.320,-38.574,0.000
484.000,-11.230,-30.762,-24.902,-34.668,0.000
488.000,-18.555,-36.621,-26.855,-30.273,0.000
492.000,-37.109,-33.203,-26.855,-33.691,0.000
496.000,-47.852,-34.180,-27.832,-35.156,0.000
500.000,-41.504,-39.551,-31.738,-26.367,0.000
504.000,-32.715,-35.156,-30.273,-20.508,0.000
508.000,-10.742,-28.809,-28.809,-27.344,0.000
512.000,-0.977,-24.902,-25.879,-29.297,0.000
516.000,-25.391,-28.320,-19.043,-27.832,0.000
519.000,-34.180,-28.320,-17.578,-18.066,0.000
523.000,-28.320,-23.926,-18.066,-14.160,0.000
527.000,-25.391,-27.832,-21.484,-20.508,0.000
531.000,-36.621,-25.879,-23.926,-16.113,0.000
