timestamp,TP9,AF7,AF8,TP10,Right AUX
0.000,-32.715,-30.273,-27.832,-12.207,0.000
4.000,-36.621,-29.297,-27.832,-19.531,0.000
8.000,-18.066,-35.156,-29.297,-34.180,0.000
12.000,-14.648,-34.668,-20.020,-25.879,0.000
16.000,-29.785,-31.250,-12.207,-21.484,0.000
20.000,-23.438,-36.133,-20.996,-32.715,0.000
23.000,-23.438,-59.570,-34.668,-34.180,0.000
27.000,-45.410,-48.828,-46.387,-38.574,0.000
31.000,-40.527,-17.090,-40.527,-36.133,0.000
35.000,-35.645,-19.531,-21.484,-27.832,0.000
39.000,-45.898,-19.531,-12.695,-20.508,0.000
43.000,-61.523,-25.879,-19.043,-37.598,0.000
47.000,-74.219,-42.480,-20.508,-35.156,0.000
51.000,-64.941,-51.758,-29.785,-24.414,0.000
55.000,-44.434,-33.203,-36.133,-34.668,0.000
59.000,-49.316,-20.996,-34.180,-46.875,0.000
62.000,-55.176,-21.973,-24.902,-48.828,0.000
66.000,-45.898,-18.555,-14.160,-31.738,0.000
70.000,-51.270,-17.090,-17.578,-27.832,0.000
74.000,-57.617,-27.344,-22.949,-45.898,0.000
78.000,-45.410,-26.367,-31.250,-41.992,0.000
82.000,-38.086,-21.484,-33.203,-38.086,0.000
86.000,-49.805,-32.227,-22.461,-37.598,0.000
90.000,-45.410,-29.297,-21.484,-39.062,0.000
94.000,-41.016,-22.461,-25.879,-38.086,0.000
98.000,-32.227,-23.926,-20.996,-34.180,0.000
102.000,-31.250,-21.484,-20.996,-40.527,0.000
105.000,-48.828,-28.809,-28.809,-44.434,0.000
109.000,-49.316,-37.109,-32.227,-41.504,0.000
113.000,-33.691,-33.203,-27.344,-22.949,0.000
117.000,-23.438,-33.691,-24.902,-10.742,0.000
121.000,-17.578,-34.180,-20.508,-11.230,0.000
125.000,-25.391,-34.668,-16.602,-18.066,0.000
129.000,-33.691,-35.156,-15.137,-15.137,0.000
133.000,-28.320,-35.645,-15.625,-8.789,0.000
137.000,-29.785,-37.109,-15.625,-11.719,0.000
141.000,-25.879,-34.668,-18.555,-11.230,0.000
145.000,-33.691,-27.344,-18.066,-2.441,0.000
148.000,-31.738,-19.043,-16.602,0.977,0.000
152.000,-23.438,-18.066,-21.484,-5.371,0.000
156.000,-20.508,-26.367,-21.484,-12.695,0.000
160.000,-23.926,-35.156,-20.996,-16.113,0.000
164.000,-17.090,-29.785,-25.391,-8.301,0.000
168.000,-6.348,-22.949,-23.926,0.488,0.000
172.000,-4.883,-27.344,-30.273,-19.043,0.000
176.000,7.812,-23.926,-36.621,-24.902,0.000
180.000,-0.977,-17.090,-30.273,-11.230,0.000
184.000,-33.691,-17.090,-32.227,-10.742,0.000
187.000,-47.363,-17.578,-36.133,-9.277,0.000
191.000,-28.809,-15.625,-31.250,-8.301,0.000
195.000,-17.578,-14.160,-35.645,-12.207,0.000
199.000,-16.602,-12.207,-38.086,-13.184,0.000
203.000,-6.836,-14.648,-31.738,-17.090,0.000
207.000,-15.625,-20.020,-31.250,-15.625,0.000
211.000,-27.832,-17.578,-31.250,-8.789,0.000
215.000,-32.227,-15.625,-32.715,-4.395,0.000
219.000,-41.016,-29.297,-39.551,-22.949,0.000
223.000,-35.156,-28.320,-36.621,-34.668,0.000
227.000,-21.973,-16.113,-34.668,-30.273,0.000
230.000,-26.367,-13.672,-28.809,-22.949,0.000
234.000,-29.785,-17.090,-26.367,-17.090,0.000
238.000,-20.020,-13.184,-26.367,-24.902,0.000
242.000,-13.672,-15.137,-23.438,-35.156,0.000
246.000,-19.531,-23.926,-24.902,-29.297,0.000
250.000,-35.156,-26.367,-20.996,-20.020,0.000
254.000,-51.270,-26.855,-20.020,-20.020,0.000
258.000,-41.504,-19.043,-17.578,-22.461,0.000
262.000,-41.016,-17.578,-20.508,-24.902,0.000
266.000,-46.387,-26.367,-20.020,-20.508,0.000
270.000,-40.039,-21.484,-17.090,-12.207,0.000
273.000,-27.832,-15.137,-19.043,-16.113,0.000
277.000,-19.531,-18.066,-15.137,-17.090,0.000
281.000,-9.766,-14.648,-15.137,-16.113,0.000
285.000,-13.184,-18.066,-24.414,-27.344,0.000
289.000,-37.109,-19.531,-22.461,-27.832,0.000
293.000,-39.062,-15.137,-18.555,-14.648,0.000
297.000,-19.531,-10.742,-20.996,-11.719,0.000
301.000,-6.836,-12.695,-27.344,-8.301,0.000
305.000,3.418,-17.578,-28.320,0.488,0.000
309.000,18.066,-9.766,-19.043,4.395,0.000
312.000,14.160,-5.859,-17.090,-9.277,0.000
316.000,-33.691,-11.719,-19.043,-14.648,0.000
320.000,-55.664,-15.137,-22.461,-4.883,0.000
324.000,-35.645,-14.648,-22.461,-7.812,0.000
328.000,-36.133,-19.531,-23.926,-16.602,0.000
332.000,-45.898,-20.996,-27.344,-4.395,0.000
336.000,-41.016,-15.137,-28.320,-10.254,0.000
340.000,-25.879,-6.836,-24.414,-23.438,0.000
344.000,-20.996,-8.301,-18.555,-19.531,0.000
348.000,-27.344,-11.230,-27.344,-16.602,0.000
352.000,-30.762,-5.859,-30.762,-17.090,0.000
355.000,-24.902,-9.766,-29.785,-14.648,0.000
359.000,-27.832,-15.625,-38.574,-29.297,0.000
363.000,-28.809,-17.090,-37.598,-20.020,0.000
367.000,-23.926,-19.043,-31.738,-4.395,0.000
371.000,-25.879,-17.090,-28.320,-21.973,0.000
375.000,-24.414,-15.625,-27.344,-30.273,0.000
379.000,-31.250,-17.578,-27.832,-20.996,0.000
383.000,-25.391,-14.160,-27.832,-20.508,0.000
387.000,-7.812,-12.695,-30.762,-28.320,0.000
391.000,-7.812,-11.230,-33.691,-32.227,0.000
395.000,-13.672,-12.695,-28.809,-31.250,0.000
398.000,-12.695,-11.719,-22.949,-24.414,0.000
402.000,-18.066,-8.789,-22.461,-36.133,0.000
406.000,-32.715,-11.719,-17.090,-42.969,0.000
410.000,-36.621,-10.742,-12.695,-27.344,0.000
414.000,-34.180,-9.766,-18.066,-25.391,0.000
418.000,-27.344,-12.207,-17.578,-24.902,0.000
422.000,-22.461,-12.207,-11.719,-20.020,0.000
426.000,-23.438,-15.625,-12.207,-41.504,0.000
430.000,-18.066,-15.137,-16.113,-47.363,0.000
434.000,-7.324,-9.766,-13.184,-28.809,0.000
437.000,-34.180,-6.836,-9.277,-23.438,0.000
441.000,-41.992,-10.742,-13.672,-27.344,0.000
445.000,-18.555,-11.230,-14.160,-22.461,0.000
449.000,-32.227,-11.230,-12.207,-3.906,0.000
453.000,-44.922,-8.789,-15.625,-1.465,0.000
457.000,-38.574,-3.906,-17.578,-5.371,0.000
461.000,-38.574,-9.277,-17.578,2.930,0.000
465.000,-20.508,-12.695,-20.020,-3.418,0.000
469.000,-11.230,-10.742,-16.113,-9.766,0.000
473.000,-21.973,-17.578,-15.625,-20.020,0.000
477.000,-36.133,-16.113,-14.160,-15.625,0.000
480.000,-35.645,-12.695,-13.184,1.953,0.000
484.000,-35.645,-16.602,-16.602,-1.953,0.000
488.000,-36.133,-20.020,-20.020,-3.418,0.000
492.000,-25.391,-18.066,-21.484,-1.953,0.000
496.000,-19.043,-16.602,-22.461,-1.465,0.000
500.000,-21.973,-21.973,-25.391,-5.371,0.000
504.000,-17.090,-28.320,-26.367,-7.812,0.000
508.000,-1.465,-25.879,-23.926,-3.906,0.000
512.000,8.789,-20.020,-20.996,6.836,0.000
516.000,7.812,-19.043,-22.461,6.348,0.000
520.000,0.488,-16.602,-24.414,-7.324,0.000
523.000,-4.883,-19.043,-23.926,-14.160,0.000
527.000,-1.953,-20.508,-22.949,-8.301,0.000
531.000,8.789,-20.996,-20.020,3.906,0.000
535.000,11.230,-19.531,-18.555,4.883,0.000
539.000,0.000,-16.113,-21.484,-5.859,0.000
543.000,-3.906,-22.461,-24.414,-8.789,0.000
547.000,-2.930,-24.414,-27.344,0.977,0.000
551.000,-10.742,-18.555,-21.973,6.836,0.000
555.000,-31.738,-16.602,-18.066,11.230,0.000
559.000,-34.668,-18.555,-21.973,13.184,0.000
562.000,-19.531,-23.926,-26.855,6.348,0.000
566.000,-9.766,-25.391,-27.344,4.883,0.000
570.000,-6.836,-25.391,-23.926,0.000,0.000
574.000,-20.996,-28.809,-26.367,-10.742,0.000
578.000,-33.203,-25.879,-32.227,-12.695,0.000
582.000,-23.438,-20.020,-31.250,-4.883,0.000
586.000,-19.043,-17.090,-27.344,-2.441,0.000
590.000,-18.555,-16.602,-26.855,-18.066,0.000
594.000,-21.484,-21.973,-30.273,-21.973,0.000
598.000,-26.855,-23.926,-30.273,-9.277,0.000
602.000,-22.461,-14.160,-24.414,-8.789,0.000
605.000,-15.625,-14.648,-24.902,-25.879,0.000
609.000,-7.812,-20.020,-31.250,-33.203,0.000
613.000,-1.465,-15.137,-26.855,-20.508,0.000
617.000,-22.949,-19.531,-23.438,-16.113,0.000
621.000,-37.598,-23.926,-28.809,-28.320,0.000
