timestamp,TP9,AF7,AF8,TP10,Right AUX
0.000,-21.973,-284.668,-9.277,-61.523,0.000
4.000,-23.438,387.695,335.449,15.625,0.000
8.000,-28.320,116.211,213.379,3.906,0.000
12.000,-33.203,-186.523,39.062,-68.848,0.000
16.000,-14.648,93.750,197.754,-50.781,0.000
20.000,-17.578,40.039,235.840,10.742,0.000
23.000,-27.832,-201.660,92.285,-16.113,0.000
27.000,-21.973,-380.371,-14.160,-75.195,0.000
31.000,-19.531,-219.727,80.078,-100.098,0.000
35.000,-16.602,170.898,284.180,-29.297,0.000
39.000,-24.902,-158.203,122.559,32.227,0.000
43.000,-28.320,-556.152,-91.309,-27.832,0.000
