timestamp,TP9,AF7,AF8,TP10,Right AUX
0.000,-23.926,245.117,42.969,-80.078,0.000
4.000,-15.625,327.148,109.375,35.645,0.000
8.000,-42.969,-30.273,-44.922,30.273,0.000
12.000,-44.434,-239.746,-159.668,-89.844,0.000
16.000,-34.180,109.863,-22.949,-127.930,0.000
20.000,-22.461,-25.879,-87.402,-30.273,0.000
23.000,-27.832,-649.414,-309.570,20.996,0.000
27.000,-44.434,-243.652,-87.402,-51.270,0.000
31.000,-35.156,253.906,51.270,-102.051,0.000
35.000,-22.461,127.441,-11.719,-32.227,0.000
39.000,-30.273,13.672,-2.930,49.316,0.000
43.000,-34.668,50.781,-8.301,3.906,0.000
