timestamp,TP9,AF7,AF8,TP10,Right AUX
0.000,-30.273,108.887,-293.945,-50.781,0.000
4.000,-39.062,469.727,-203.613,0.977,0.000
8.000,-46.875,-31.738,-365.234,-5.859,0.000
12.000,-43.457,-255.371,-353.516,-64.941,0.000
16.000,-34.180,108.398,-290.039,-62.988,0.000
19.000,-23.438,119.629,-300.293,1.953,0.000
23.000,-29.785,-170.410,-372.070,17.578,0.000
27.000,-47.852,-773.926,-588.867,-39.551,0.000
31.000,-41.504,-292.480,-398.438,-74.219,0.000
35.000,-22.949,464.844,-177.246,-22.461,0.000
39.000,-35.645,312.988,-281.738,15.137,0.000
43.000,-49.805,22.949,-367.676,-28.320,0.000
47.000,-32.715,119.629,-346.680,-69.824,0.000
51.000,-15.137,341.309,-284.180,-40.039,0.000
55.000,-26.855,228.516,-299.316,5.859,0.000
59.000,-40.527,110.840,-333.496,-16.113,0.000
62.000,-43.945,2.930,-384.766,-67.383,0.000
66.000,-29.297,-118.164,-397.949,-49.805,0.000
70.000,-30.273,-250.000,-380.371,7.324,0.000
74.000,-48.340,-388.672,-383.301,14.160,0.000
78.000,-46.387,-107.422,-319.336,-37.598,0.000
82.000,-33.691,131.348,-297.852,-60.059,0.000
86.000,-23.926,-100.098,-429.688,-3.906,0.000
90.000,-30.273,78.125,-313.477,15.625,0.000
94.000,-36.133,313.477,-255.859,-34.180,0.000
98.000,-20.508,72.266,-344.238,-59.570,0.000
102.000,-7.812,-194.824,-336.426,-14.648,0.000
105.000,-22.949,161.621,-255.371,20.020,0.000
109.000,-37.598,296.875,-281.250,-18.555,0.000
113.000,-24.414,-276.367,-449.707,-65.430,0.000
117.000,-6.836,-836.426,-587.891,-24.414,0.000
121.000,-24.414,-335.449,-359.863,26.855,0.000
125.000,-54.199,232.910,-234.375,-1.953,0.000
129.000,-52.734,47.852,-400.391,-56.641,0.000
133.000,-32.227,3.906,-333.984,-39.551,0.000
137.000,-27.344,288.086,-240.234,5.371,0.000
141.000,-42.480,337.891,-293.457,-0.977,0.000
145.000,-45.410,-12.695,-409.668,-37.598,0.000
148.000,-24.902,-32.715,-355.957,-50.293,0.000
152.000,-21.484,357.910,-249.023,-26.367,0.000
156.000,-42.480,217.773,-339.844,-0.977,0.000
160.000,-59.082,-292.969,-474.121,-37.109,0.000
164.000,-51.270,-500.488,-492.188,-74.219,0.000
168.000,-33.203,-79.102,-307.617,-31.250,0.000
172.000,-39.062,359.375,-246.094,14.160,0.000
176.000,-51.270,-303.711,-531.738,-9.766,0.000
180.000,-42.969,-417.969,-474.121,-62.988,0.000
184.000,-32.227,271.484,-249.512,-50.781,0.000
188.000,-34.668,356.934,-254.395,0.977,0.000
191.000,-44.922,-434.082,-548.828,-14.648,0.000
195.000,-44.922,-425.781,-473.145,-72.754,0.000
199.000,-25.391,256.836,-261.230,-62.500,0.000
203.000,-18.555,296.875,-282.715,0.977,0.000
207.000,-37.109,-235.840,-368.164,2.930,0.000
211.000,-44.922,-321.777,-367.188,-53.223,0.000
215.000,-30.762,102.539,-288.086,-61.035,0.000
219.000,-20.020,1.953,-328.125,-4.883,0.000
223.000,-28.320,-107.422,-310.547,21.484,0.000
227.000,-39.551,115.723,-284.180,-32.715,0.000
230.000,-28.320,57.617,-361.328,-74.707,0.000
234.000,-4.395,-184.570,-372.559,-40.039,0.000
238.000,-7.324,-77.148,-271.973,5.859,0.000
242.000,-35.156,249.023,-258.301,-20.996,0.000
